regionbase,tax_sce,region_scenario,tb,prop,prop2,te,varphi,pe,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality
OECD37 as Home,EPC_hybrid,3,0.8386496629608551,0.9970529963222903,0.5072722918004432,2.0,2.0,1.065062432697115,0.040801183553060644,0.8193825264675944,0.03525896902408041,0.0,24.407759476047673,24.407759476047673,5.931610498436885,0.5104616839454865,1.30921171041974,16.65647558324557,6.442072182382371,7.240822208856625,17.965687293665308,17.166937267191056,5.030730434322507,15.49944207778065,4.347382921419448,0.6833475129030541,0.3425451987725764,0.054902010702637206,91.87470066666667,123.29863979999998,68.26456656727535,114.63277282939131,13.781205100000003,18.450767912143455,-2.875165,0.7817615614151318,0.09624214937256931,-0.2676667588206906,-0.1687616894787366,0.7572564760476723,-2.1060667063346905,-1.327857732808944,-7.868241523952328,-5.4860081949385044,0.105635811005688,8.18800522604,-8.940195516824637
OECD37 as Home,EPC_hybrid,3,0.9156071936848486,0.9955169776265682,0.5184055308365093,2.2,2.2,1.0558349707443317,0.04030772800955533,0.8193127974932181,0.034378636488420815,0.0,24.301797793811936,24.301797793811936,5.727339055152085,0.4980558614392105,1.2657144114499994,16.810688465770642,6.225394916591296,6.993053466602085,18.07640287722064,17.30874432720985,4.969888037006532,15.44688078650076,4.238839117200934,0.7310489198055994,0.3225181438504131,0.05681786741484844,91.87470066666664,123.29863979999998,68.20740515020543,114.68993424646122,13.781205099999998,18.445128923408873,-2.875165,0.6693949875546974,0.08167521907474388,-0.2502257681658958,-0.14873594792138745,0.6512947938119353,-1.9953511227793577,-1.1860506727901488,-7.974203206188065,-5.8971653700032896,0.11510546082121487,9.91250492514971,-9.18224809566423
OECD37 as Home,EPC_hybrid,3,0.991302627316712,0.9971444627399935,0.5287842725223522,2.4000000000000004,2.4000000000000004,1.0473281170670445,0.03985024749996,0.8193744993302913,0.03355955505146405,0.0,24.203700108641325,24.203700108641325,5.538996240534931,0.48666141770578375,1.222731613464986,16.955310836935617,6.025657658240714,6.761727853999917,18.178042450400604,17.4419722546414,4.913481312438418,15.38627793418547,4.1378474901387365,0.7756338222996888,0.3044578451643192,0.05839736594831745,91.87470066666664,123.29863979999998,68.16427794646248,114.73306145020416,13.781205099999998,18.439612099975374,-2.875165,0.5662375536129121,0.06853028846255182,-0.23459377630813982,-0.13042412064763811,0.5531971086413243,-1.893711549599395,-1.0528227453586005,-8.072300891358676,-6.305035422875296,0.12432480859236975,11.65920803146155,-9.427687641951074
OECD37 as Home,EPC_hybrid,3,1.0674895096126806,0.9926089210468021,0.5392308933701777,2.6,2.6,1.0394614900609866,0.039424853686671195,0.8191646381651319,0.03278023957139204,0.0,24.112630099212627,24.112630099212627,5.358015393319287,0.4761584575792987,1.1872590132191823,17.091197235094857,5.834173850898586,6.54527440653847,18.27845624831404,17.567355692674155,4.861030833880573,15.356175550716978,4.041758951470773,0.819271882409788,0.2877446332707863,0.05978714909674634,91.87470066666666,123.29863979999999,68.10330624771731,114.79403314894934,13.7812051,18.434051626725132,-2.875165,0.47121580407231783,0.05660983738568747,-0.21967613299464214,-0.11360984556470306,0.4621270992126263,-1.7932977516859587,-0.9274393073258445,-8.163370900787374,-6.719775340822121,0.1334823606391324,13.42646089741781,-9.675398855100758
OECD37 as Home,EPC_hybrid,3,1.1422157687714138,0.9928720850015729,0.5488723453784701,2.8000000000000003,2.8000000000000003,1.0321657693882498,0.03902873966067918,0.8191646705569166,0.03205483575421391,0.0,24.027860828516868,24.027860828516868,5.1918562301506475,0.46646299507777533,1.1504398658405082,17.21910173744987,5.658319225228423,6.342296095991156,18.369541603290376,17.685564732527645,4.812190513270055,15.309507647420318,3.9523176475069817,0.859872865763084,0.2726511592936984,0.0609067701136812,91.87470066666666,123.29863979999998,68.06179450478606,114.83554489188059,13.7812051,18.42868092337088,-2.875165,0.38341081960663326,0.04575065659305026,-0.20637529931836024,-0.0981106347186197,0.3773578285168675,-1.7022123967096228,-0.8092302674723548,-8.248140171483133,-7.129114209362948,0.14236196997335326,15.212862044513745,-9.924409130415562
OECD37 as Home,EPC_hybrid,3,1.2155618615098873,0.9969086723972002,0.5578016605477187,3.0,3.0,1.0253819009217333,0.038658476382611495,0.8193488569340912,0.03137775262955619,0.0,23.94876957844339,23.94876957844339,5.038776445512794,0.45747010128815996,1.112822261802792,17.339700769839958,5.496246546800954,6.1515987073155864,18.452523031642748,17.797170871128117,4.766537554716421,15.248747046326175,3.8688342192051506,0.8977033355112592,0.2589646124144896,0.06179829456664819,91.87470066666666,123.29863979999999,68.0373732480448,114.85996614862184,13.781205100000001,18.42350732242978,-2.875165,0.3020439583602876,0.03581821656490412,-0.19445009828423468,-0.0837762388908697,0.2982665784433891,-1.6192309683572503,-0.6976241288718832,-8.327231421556611,-7.533181953486064,0.15097444434677212,17.017108004157258,-10.173940526798312
OECD37 as Home,EPC_hybrid,3,1.2888100513181386,0.998892139589341,0.5665489136500105,3.2,3.2,1.0190572245661915,0.0383119611507493,0.8194429209986163,0.030734762697171417,0.0,23.874795916464617,23.874795916464617,4.893223748188813,0.4491189042231394,1.0788465022951856,17.453606761757513,5.342342652411952,5.972070250483998,18.532453264052698,17.902725665980654,4.72381269795783,15.199739770886712,3.7895544351370143,0.934258262820812,0.24630236374955297,0.06255091989272685,91.87470066666667,123.29863979999998,68.00840291140598,114.88893648526066,13.7812051,18.41840019739682,-2.875165,0.22642675457222528,0.02669770755914337,-0.18322380190004048,-0.07047433411424259,0.22429291646461635,-1.5393007359473003,-0.5920693340193459,-8.401205083535384,-7.939442913143063,0.15945636668891872,18.837989201011936,-10.423446501431972
OECD37 as Home,EPC_hybrid,3,1.3623799985142875,0.9975812254797873,0.5752013874518209,3.4000000000000004,3.4000000000000004,1.01314748592468,0.037986762389047586,0.8193746192308399,0.030120348744739595,0.0,23.805467642037886,23.805467642037886,4.753457813190258,0.4413368981242574,1.049321994916561,17.561350935806807,5.194794711314516,5.80277980810682,18.610672930723368,18.002687833931066,4.683716132975365,15.168785313399063,3.7137980305280287,0.9699181024473454,0.23450358214262823,0.06319111906310579,91.87470066666666,123.29863979999998,67.96898690737184,114.9283524892948,13.781205100000001,18.41333017804445,-2.875165,0.15598223093066693,0.018294555429880018,-0.17248985483343227,-0.058096361264708754,0.15496464203788562,-1.4610810692766307,-0.49210716606893357,-8.470533357962115,-8.350175999914173,0.1678490733932227,20.6744522999423,-10.67238574913018
OECD37 as Home,EPC_hybrid,3,1.4352316733767252,0.9976391154144365,0.5834174588502424,3.6,3.6,1.0076132293187148,0.03768103587953722,0.8193746285217374,0.02954003365798534,0.0,23.7403606489822,23.7403606489822,4.622466942921669,0.43407075801336664,1.0204056946794855,17.663417253367673,5.056537700935036,5.642872637601155,18.68382294804716,18.09748801138104,4.646020470201935,15.133840923996418,3.64224596967581,1.0037745005261267,0.22364780295652104,0.0636955671656309,91.87470066666666,123.29863979999993,67.93694631957308,114.96039307709353,13.781205100000001,18.408410291046124,-2.875165,0.09019948623729881,0.010527347133538152,-0.1626042095116322,-0.0465468286244729,0.08985764898219983,-1.3879310519528403,-0.3973069886189613,-8.5356403510178,-8.75882816910776,0.1760447351047672,22.525543352589587,-10.920340295100242
OECD37 as Home,EPC_hybrid,3,1.5080367303273505,0.9965346171317601,0.5914035413743376,3.8000000000000003,3.8000000000000003,1.0024198804892022,0.03739296970121023,0.819312834033145,0.02898664523768268,0.0,23.67910140465845,23.67910140465845,4.497635274086843,0.42726804101835913,0.9939551303106524,17.76024295924316,4.924903315105202,5.4915904043974955,18.754198089553814,18.18751100026152,4.610502302241832,15.10685277732378,3.5740139301714215,1.036488372070407,0.21354764197710652,0.06410066360154479,91.87470066666664,123.29863979999998,67.90193012918606,114.99540926748057,13.7812051,18.403578493736177,-2.875165,0.02863300004980671,0.0033265951685589436,-0.15325942752200292,-0.03574358364089655,0.02859840465844954,-1.3175559104461847,-0.3072839997384804,-8.59689959534155,-9.169266832713513,0.18411267696661404,24.39037809515488,-11.166982595326719
