regionbase,tax_sce,region_scenario,tb,prop,te,varphi,pe,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,prop2
OECD37 as Home,Baseline,3,0.0,1.0,0.0,0.0,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-3.7732549694984933e-06,-3.7732549694984933e-06,
OECD37 as Home,Baseline,3,0.0,1.0,0.0,0.2,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-3.4891765503878948e-06,-3.7732549694984933e-06,
OECD37 as Home,Baseline,3,0.0,1.0,0.0,0.4,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-3.2050981312772967e-06,-3.7732549694984933e-06,
OECD37 as Home,Baseline,3,0.0,1.0,0.0,0.6000000000000001,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-2.921019712166698e-06,-3.7732549694984933e-06,
OECD37 as Home,Baseline,3,0.0,1.0,0.0,0.8,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-2.6369412930561e-06,-3.7732549694984933e-06,
OECD37 as Home,Baseline,3,0.0,1.0,0.0,1.0,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-2.352862873945502e-06,-3.7732549694984933e-06,
OECD37 as Home,Baseline,3,0.0,1.0,0.0,1.2000000000000002,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-2.0687844548349036e-06,-3.7732549694984933e-06,
OECD37 as Home,Baseline,3,0.0,1.0,0.0,1.4000000000000001,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-1.7847060357243055e-06,-3.7732549694984933e-06,
OECD37 as Home,Baseline,3,0.0,1.0,0.0,1.6,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-1.5006276166137072e-06,-3.7732549694984933e-06,
OECD37 as Home,Baseline,3,0.0,1.0,0.0,1.8,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-1.2165491975031092e-06,-3.7732549694984933e-06,
OECD37 as Home,Baseline,3,0.0,1.0,0.0,2.0,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-9.324707783925108e-07,-3.7732549694984933e-06,
OECD37 as Home,Baseline,3,0.0,1.0,0.0,2.2,1.0000000426007245,0.049234334429913686,0.8194978536383585,0.04923433442991369,8.625495183726166,23.650504511292862,32.275999695019024,11.29366751888158,0.9105789312086776,2.4875369940291217,17.584216250899647,12.204246450090258,13.781204512910701,20.071753244928768,18.494795182108327,6.0705264666666645,16.583580666666663,6.070526466666665,0.0,0.9105789312086777,-1.3451203165818855e-16,91.87470066666664,123.29863979999998,69.15739949666666,113.73993989999998,13.781205099999998,18.49479597,1.8372617033542094e-07,1.5112928928494939e-06,1.158095703007755,-0.5786070785408093,0.13954864469620165,1.5112928615224064e-06,-7.550712304293938e-07,1.821083266406731e-07,-1.3049809766130238e-06,-2.5860882590933443e-07,0.0,-6.483923592819122e-07,-3.7732549694984933e-06,
