,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
60,Unilateral,US as Home,1,1.00679884,0.347524603,9.05E-06,1,0.019419719,0.740153431,0.01592552,2.804464389,29.02205793,31.82652232,0.793089712,3.592177359,2.550350865,0.349784154,0.895354794,0.285485543,0.064298611,23.64576429,8.084,2.57759845,0.565547756,3.143146206,31.11066667,161.8533333,22.25708501,141.7750591,4.6666,24.2579036,-1.239237494,0.098491425,0.05426755,-2.269809589,-0.169658328,0.098157934,-4.105580916,-0.306874197,-1.808777677,0.049227819,-1.41538928,-0.289789976,-0.325776717,-0.024505476,0,0,2.832849052,-2.981162254,2.804464389,29.02205793,0,0,1,1
66,Unilateral,US as Home,1.1,1.00981648,0.383410913,8.25E-06,1.1,0.019504434,0.740153431,0.0156891,2.551245639,29.06551875,31.61676439,0.770943764,3.581442837,2.479135799,0.341822114,0.870353234,0.273393955,0.068428159,23.57306681,8.084,2.539333054,0.617524601,3.156857655,31.11066667,161.8533333,22.27133703,141.7634043,4.6666,24.25447119,-1.321101598,0.142313279,0.070159152,-2.082341243,-0.197305531,0.141618746,-4.20327996,-0.398268242,-2.018535614,0.053883751,-1.547551652,-0.372168662,-0.356196209,-0.035329161,0,0,3.447661433,-3.689405733,2.551245639,29.06551875,0,0,1,1
72,Unilateral,US as Home,1.2,1.013482946,0.419765085,7.52E-06,1.2,0.019594856,0.740153431,0.015461906,2.275406377,29.11823682,31.3936432,0.749416693,3.568486292,2.409910863,0.334157295,0.846050351,0.261911515,0.072245779,23.48562074,8.084,2.50256109,0.668931602,3.171492692,31.11066667,161.8533333,22.28660495,141.7509645,4.6666,24.25088013,-1.393555314,0.195645479,0.086693389,-1.924928431,-0.225875643,0.194336824,-4.315028906,-0.50633567,-2.241656799,0.058493099,-1.679711026,-0.469496601,-0.386615012,-0.048436617,0,0,4.131924468,-4.514589565,2.275406377,29.11823682,0,0,1,1
78,Unilateral,US as Home,1.3,1.017974772,0.456727807,7.20E-06,1.3,0.019690707,0.740153431,0.015243402,1.969244476,29.1826925,31.15193698,0.728350255,3.552740302,2.342167193,0.326707851,0.822267498,0.250951833,0.075756018,23.37970415,8.084,2.467195438,0.719811156,3.187006594,31.11066667,161.8533333,22.30284916,141.7377777,4.6666,24.24714604,-1.455789304,0.261114917,0.1042105,-1.789802098,-0.255881917,0.258792502,-4.444728347,-0.635447692,-2.483363022,0.063055852,-1.812770301,-0.585839894,-0.417240942,-0.064430221,0,0,4.890727947,-5.486330068,1.969244476,29.1826925,0,0,1,1
84,Unilateral,US as Home,1.4,1.023606754,0.494526702,6.65E-06,1.4,0.01979172,0.740153431,0.015033116,1.619333988,29.26330829,30.88264228,0.707513556,3.533192788,2.275162297,0.319358601,0.798744007,0.240409686,0.078948915,23.24867097,8.084,2.433159914,0.770195968,3.203355882,31.11066667,161.8533333,22.32003087,141.7238808,4.6666,24.24328325,-1.506700827,0.34340667,0.123302034,-1.6708525,-0.288222411,0.339408295,-4.599285026,-0.793377645,-2.752657717,0.067571477,-1.94821959,-0.728428264,-0.448416976,-0.084384042,0,0,5.731328123,-6.655808562,1.619333988,29.26330829,0,0,1,1
90,Unilateral,US as Home,1.5,1.031039869,0.533600887,6.21E-06,1.5,0.019897609,0.740153431,0.014830672,1.197852071,29.36936664,30.56721871,0.68648346,3.507720807,2.207535493,0.311904843,0.775002182,0.230122511,0.081782333,23.07857007,8.084,2.400393727,0.820100587,3.220494314,31.11066667,161.8533333,22.33810783,141.7093132,4.6666,24.23930576,-1.544656646,0.452362638,0.145193883,-1.562255784,-0.324764627,0.445466636,-4.793127745,-0.996404277,-3.068081292,0.072038137,-2.089032648,-0.912406252,-0.480827576,-0.110551773,0,0,6.665163167,-8.127582961,1.197852071,29.36936664,0,0,1,1
96,Unilateral,US as Home,1.6,1.042257134,0.575169742,5.85E-06,1.6,0.020007971,0.740153431,0.01463593,0.621956113,29.52869741,30.15065353,0.664079481,3.469969053,2.135490669,0.303788699,0.749709318,0.219689129,0.08409957,22.82761681,8.084,2.368874014,0.869482864,3.238356877,31.11066667,161.8533333,22.35701737,141.69413,4.6666,24.23523095,-1.566853749,0.617531845,0.173560623,-1.454774225,-0.371120987,0.604797414,-5.069373873,-1.293225439,-3.484646473,0.076449242,-2.243871788,-1.1831116,-0.516466525,-0.149686309,0,0,7.713986682,-10.20730834,0.621956113,29.52869741,0,0,1,1
102,Unilateral,US as Home,1.7,1.054884493,0.618240009,5.55E-06,1.673124502,0.020122629,0.740153431,0.014448369,0,29.70703484,29.70703484,0.641972557,3.428432234,2.06440109,0.295755317,0.724751813,0.209654162,0.086101155,22.55172292,8.084,2.338516737,0.91839788,3.256914617,31.11066667,161.8533333,22.37673428,141.6783559,4.6666,24.23106709,-1.570466667,0.804530132,0.199358955,-1.367073007,-0.412062186,0.783134838,-5.370225268,-1.618689531,-3.928265162,0.080807199,-2.401865533,-1.483183001,-0.552831562,-0.193239553,0,0,8.926769402,-12.53870045,0,29.70703484,0,0,1,1
108,Unilateral,US as Home,1.8,1.05298751,0.65351823,5.37E-06,1.70650574,0.020242893,0.740153431,0.014265361,0,29.68031196,29.68031196,0.629414811,3.43460864,2.024018952,0.292116424,0.710574806,0.202949462,0.089166962,22.58957757,8.084,2.308896172,0.967483596,3.276379768,31.11066667,161.8533333,22.39749071,141.6618105,4.6666,24.22676916,-1.570466667,0.776365928,0.191255181,-1.351849252,-0.399065017,0.756411955,-5.346547628,-1.57829737,-3.954988045,0.085166324,-2.494054405,-1.44699793,-0.574050451,-0.186730019,0,0,10.19375511,-12.68900261,0,29.68031196,0,0,1,1
114,Unilateral,US as Home,1.9,1.051164531,0.688722302,5.26E-06,1.739886833,0.020367541,0.740153431,0.014088387,0,29.65460888,29.65460888,0.617338997,3.4405651,1.98518657,0.28870191,0.696941875,0.196586261,0.092115649,22.62587459,8.084,2.280252325,1.016301999,3.296554324,31.11066667,161.8533333,22.41908238,141.6446622,4.6666,24.2223834,-1.570466667,0.749324347,0.183563322,-1.33742694,-0.386731438,0.730708885,-5.323883536,-1.539458401,-3.980691115,0.089485296,-2.584456785,-1.412194288,-0.594858148,-0.180463374,0,0,11.46917984,-12.84181677,0,29.65460888,0,0,1,1
