,regionbase,tax_sce,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,conv
0,OECD37 as Home,purete,0.0,1.0000000000000002,0.0,0.5,0.0,0.057913183842328936,0.7795968539285809,0.057913183842328936,9.30397,24.33133,33.6353,2.5271999999999997,2.163499999999999,8.752299999999998,1.0260999999999998,2.4743999999999997,1.0260999999999998,0.0,16.6918,16.496000000000002,6.840666666666666,0.0,6.840666666666666,74.84466666666667,118.11933333333336,55.41093333333333,108.6084666666667,11.2267,17.717900000000004,1.3772642285895623e-15,3.601760371433708e-15,,inf,inf,0.0,-3.552713678800501e-15,-3.552713678800501e-15,0.0,0.0,-0.0,-0.0,-5.61151125566539e-16,-4.80393502755305e-16,0.0,0.0,-5.5511912694313715e-14,-5.5511912694313715e-14,9.30397,24.33133,1
1,OECD37 as Home,purete,0.1,1.0068920078755668,0.0,0.5,0.0732365197866525,0.057913183842328936,0.7795968539285809,0.05791318384232893,8.990040092714406,24.41503188810966,33.40507198082406,2.509901737458537,2.148691203304663,8.69239196611204,1.0190765166216385,2.4574631446531354,1.0190765166216382,4.904310592928262e-16,16.57754741267427,16.496000000000002,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11933333333337,55.41093333333333,108.60846666666671,11.2267,17.717900000000004,-0.30345657643260754,0.08399016005490896,0.3635608229148409,-0.6341462689489705,-0.5910873397882864,0.08370188810965828,-0.145998239367934,-0.1360848673994326,-0.23022801917593938,0.0,-0.07710909076102697,-0.12169303171856376,-0.017357735948341686,-0.014859711033648793,0.0,0.0,0.015324604069310094,-0.015436174143691866,8.990040092714406,24.41503188810966,1
2,OECD37 as Home,purete,0.2,1.0140390724813126,0.0,0.5,0.14605610542985628,0.057913183842328936,0.7795968539285809,0.05791318384232892,8.668099797460007,24.501529374387065,33.16962917184707,2.492211659868336,2.133546979315109,8.631126982694537,1.0118939475272632,2.440142660326927,1.011893947527263,2.4348722224655457e-16,16.460706942145578,16.496,6.840666666666664,0.0,6.840666666666666,74.84466666666665,118.11933333333337,55.41093333333333,108.60846666666671,11.2267,17.717900000000004,-0.5934023397008448,0.1713927070590308,0.36549288488212706,-0.6341462689078038,-0.5910873397499092,0.17019937438706378,-0.2953034182123879,-0.2752521310120528,-0.4656708281529305,0.0,-0.15651633577119212,-0.2470129945184609,-0.03523280071267122,-0.03016229991368478,0.0,0.0,0.061753721961495395,-0.06268288759062514,8.668099797460007,24.501529374387065,1
3,OECD37 as Home,purete,0.30000000000000004,1.0214639274361512,0.0,0.5,0.21843589082438405,0.057913183842328936,0.7795968539285809,0.05791318384232893,8.337457930285215,24.591066608436087,32.928524538721305,2.4740961791408616,2.118038573746143,8.568388726137448,1.0045386551980204,2.422405660678279,1.0045386551980204,4.834347065542964e-16,16.341056743820605,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11933333333333,55.41093333333331,108.60846666666664,11.226699999999997,17.7179,-0.8695858426366188,0.2625191592323715,0.3674952267954679,-0.6341462689495382,-0.5910873397888071,0.2597366084360857,-0.4481990217549736,-0.41776602723523126,-0.7067754612786956,0.0,-0.2384194219659824,-0.3762718765488594,-0.053669694851776514,-0.045945862935983885,0.0,0.0,0.14001327035366107,-0.1432836535646881,8.337457930285215,24.591066608436087,1
4,OECD37 as Home,purete,0.4,1.0291928377728756,0.0,0.5,0.29035020617798973,0.057913183842328936,0.7795968539285809,0.057913183842328936,7.997316329186232,24.683925480447954,32.68124180963419,2.455516505020323,2.1021327788111224,8.504042856477275,0.9969948899182308,2.404214165884096,0.9969948899182308,0.0,16.21834061352415,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11933333333332,55.41093333333332,108.60846666666666,11.226699999999997,17.7179,-1.1317372525490967,0.3577297708654744,0.3695743970425506,-0.634146268948918,-0.5910873397882309,0.3525954804479525,-0.6050124417806373,-0.5639317177465024,-0.9540581903658136,0.0,-0.3230465229206471,-0.5098297797621504,-0.07271978165668003,-0.062254371483945546,0.0,0.0,0.2508933640427011,-0.25899370359025264,7.997316329186232,24.683925480447954,1
5,OECD37 as Home,purete,0.5,1.0372564189377353,0.0,0.5,0.3617700031686918,0.057913183842328936,0.7795968539285809,0.05791318384232893,7.64674506009267,24.780434358509616,32.427179418602286,2.4364274386348277,2.0857909003982464,8.437932839175213,0.9892442999300397,2.3855239213983923,0.9892442999300396,4.760742907926391e-16,16.0922600190744,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11933333333334,55.41093333333332,108.60846666666666,11.226700000000001,17.717900000000004,-1.3795658623527876,0.4574448674764345,0.3717380246846149,-0.6341462689449501,-0.5910873397845319,0.44910435850961505,-0.7661251591289648,-0.7141047805973173,-1.208120581397715,0.0,-0.4106633524675759,-0.6481060518839252,-0.09244287496379582,-0.07913903133276835,0.0,0.0,0.3952585910291983,-0.41182669320239795,7.64674506009267,24.780434358509616,1
6,OECD37 as Home,purete,0.6000000000000001,1.0456907175641967,0.0,0.5,0.43266210933707455,0.057913183842328936,0.7795968539285809,0.05791318384232893,7.2846496996036185,24.880979616059747,32.16562931566337,2.416775780401676,2.0689673951009118,8.369874431311167,0.9812652850071855,2.366282839120729,0.9812652850071854,4.722343860583986e-16,15.962463584721707,16.495999999999995,6.840666666666665,0.0,6.840666666666666,74.84466666666664,118.11933333333333,55.410933333333325,108.60846666666667,11.226699999999997,17.7179,-1.6127571110766232,0.5621598094725557,0.3739950874150024,-0.6341462689495811,-0.5910873397888479,0.5496496160597459,-0.9319861810566543,-0.8687037351701967,-1.4696706843366343,0.0,-0.5015824701431559,-0.7915939722046035,-0.11290933386888112,-0.096660075904291,0.0,0.0,0.5740607570592202,-0.6041159252276237,7.2846496996036185,24.880979616059747,1
7,OECD37 as Home,purete,0.7000000000000001,1.0545386642386274,0.0,0.5,0.5029882433866893,0.057913183842328936,0.7795968539285809,0.05791318384232893,6.909727359208299,24.986021123645575,31.895748482853875,2.3964981898739843,2.051608038062822,8.299648269719086,0.9730321275046278,2.346428901956389,0.9730321275046276,4.682721750865574e-16,15.828532955737014,16.495999999999995,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11933333333333,55.41093333333332,108.60846666666667,11.226700000000001,17.717900000000004,-1.8309689890188372,0.6724651134557761,0.376356271827837,-0.6341462689495673,-0.5910873397888364,0.6546911236455735,-1.1031301042437747,-1.0282268786955377,-1.7395515171461255,0.0,-0.5961757859543374,-0.9408804865152143,-0.13420287762778213,-0.11488917606351161,0.0,0.0,0.7883549191719439,-0.8385960931499601,6.909727359208299,24.986021123645575,1
8,OECD37 as Home,purete,0.8,1.0638520678894872,0.0,0.5,0.572703687414927,0.057913183842328936,0.7795968539285809,0.05791318384232893,6.520406317622868,25.096113511799285,31.616519829422153,2.375518247582638,2.0336474076626447,8.226989695440615,0.9645137994003422,2.3258872870443494,0.9645137994003421,4.641727256267288e-16,15.68996339229182,16.496000000000002,6.840666666666665,0.0,6.840666666666666,74.84466666666667,118.11933333333336,55.41093333333333,108.6084666666667,11.226700000000001,17.717900000000004,-2.0338276656878125,0.7890740851723208,0.3788344679353446,-0.6341462689495058,-0.5910873397887776,0.7647835117992834,-1.2802019130011892,-1.193275400645195,-2.0187801705778483,0.0,-0.6948917224000452,-1.0966732920904416,-0.1564244489341818,-0.13391274741575745,0.0,0.0,1.039319888485453,-1.1185147420768835,6.520406317622868,25.096113511799285,1
9,OECD37 as Home,purete,0.9,1.0736944212062445,0.0,0.5,0.6417554528817433,0.057913183842328936,0.7795968539285809,0.057913183842328936,6.11476110861512,25.211936074193982,31.326697182809102,2.353742321917638,2.01500534720988,8.151574439743484,0.9556722841562549,2.304566318990583,0.9556722841562549,0.0,15.546136470791716,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11933333333333,55.410933333333325,108.60846666666666,11.226699999999996,17.7179,-2.2209221317313337,0.9128617035568479,0.38144546460594725,-0.6341462689494612,-0.591087339788738,0.880606074193981,-1.4639918630078235,-1.3645858978421543,-2.3086028171908985,0.0,-0.7982793487809767,-1.2598389262888,-0.17969764670288418,-0.15383660123523657,0.0,0.0,1.3282849465627633,-1.4477879895695938,6.11476110861512,25.211936074193982,1
