,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
60,Unilateral,US as Home,1,0.982030156,0.666519885,0.058283265,1,0.02045476,0.740153431,0.013971294,3.794213135,27.89372402,31.68793716,0.651542248,3.682778964,2.095174495,0.306319493,0.73555547,0.205753582,0.10056591,24.21656728,8.084,2.261300512,1.049370561,3.310671073,31.11066667,161.8533333,22.43423707,141.6326629,4.6666,24.21935317,-0.750220972,-1.0209479,-0.529010801,-1.89722078,0.159736916,-1.030175978,-3.694577252,0.311065734,-1.947362843,0.092400398,-2.33281532,0.234678547,-0.536938442,0.065580757,0,0,3.54070608,-2.718763908,3.794213135,27.89372402,0,0,1,1
66,Unilateral,US as Home,1.1,0.981495016,0.732818098,0.053719998,1.1,0.020717243,0.740153431,0.01364723,3.692707182,27.86333195,31.55603913,0.626548319,3.684786922,2.01480113,0.299286383,0.707338694,0.193271252,0.106015131,24.22327814,8.084,2.208849611,1.144305256,3.353154867,31.11066667,161.8533333,22.48006657,141.5965517,4.6666,24.21040753,-0.814307183,-1.050785704,-0.510069741,-1.787213534,0.150414719,-1.060568054,-3.71608317,0.31275144,-2.079260872,0.10071553,-2.515355659,0.234615671,-0.578953309,0.067552095,0,0,4.188018194,-3.163759199,3.692707182,27.86333195,0,0,1,1
72,Unilateral,US as Home,1.2,0.981102711,0.799171749,0.049262674,1.2,0.02099483,0.740153431,0.013342475,3.588944215,27.84106237,31.43000658,0.603333936,3.686260325,1.940150278,0.293036209,0.681130928,0.181954309,0.1110819,24.22609503,8.084,2.159524069,1.238559149,3.398083218,31.11066667,161.8533333,22.52888099,141.5583626,4.6666,24.20119888,-0.87627577,-1.072638817,-0.491017487,-1.695680953,0.140929801,-1.082837633,-3.739474043,0.310791563,-2.205293418,0.108881114,-2.691543434,0.231821491,-0.619506022,0.068997944,0,0,4.876761715,-3.629491557,3.588944215,27.84106237,0,0,1,1
78,Unilateral,US as Home,1.3,0.98084268,0.865601517,0.046986215,1.3,0.021286769,0.740153431,0.013055221,3.482754698,27.82630631,31.30906101,0.581712679,3.687237592,1.870622468,0.287476584,0.656721715,0.17165677,0.115819814,24.22529149,8.084,2.113030976,1.332303595,3.44533457,31.11066667,161.8533333,22.580587,141.5181989,4.6666,24.19175548,-0.936089635,-1.087114103,-0.471831868,-1.618357708,0.131287312,-1.097593687,-3.764686798,0.305405663,-2.326238988,0.116901257,-2.861847207,0.226478254,-0.658704428,0.069956616,0,0,5.60518914,-4.115305496,3.482754698,27.82630631,0,0,1,1
84,Unilateral,US as Home,1.4,0.980706407,0.932127079,0.043770123,1.4,0.021592417,0.740153431,0.012783884,3.373946295,27.81857482,31.19252111,0.561523001,3.687749946,1.805698209,0.282528914,0.633928676,0.162255171,0.120273743,24.22109117,8.084,2.069114163,1.425690491,3.494804653,31.11066667,161.8533333,22.63510768,141.4761494,4.6666,24.18209966,-0.993709119,-1.094696958,-0.452486792,-1.552199493,0.121488699,-1.105325183,-3.791680153,0.29677003,-2.442778888,0.124779905,-3.026689764,0.218728619,-0.69664584,0.070459119,0,0,6.37174259,-4.620919445,3.373946295,27.81857482,0,0,1,1
90,Unilateral,US as Home,1.5,0.980686922,0.998767323,0.042987098,1.5,0.021911218,0.740153431,0.012527073,3.262297329,27.81746939,31.07976672,0.542624326,3.687823218,1.744925446,0.278125977,0.612593108,0.153644516,0.124481461,24.21368014,8.084,2.027548549,1.518855123,3.546403672,31.11066667,161.8533333,22.69237992,141.4322902,4.6666,24.17224907,-1.049092616,-1.095781043,-0.432954881,-1.494962629,0.111534191,-1.106430607,-3.820426748,0.285029338,-2.555533278,0.132520853,-3.186453175,0.208686398,-0.733418196,0.070530977,0,0,7.175190027,-5.146307156,3.262297329,27.81746939,0,0,1,1
96,Unilateral,US as Home,1.6,0.980779211,1.065541098,0.042242395,1.6,0.022242694,0.740153431,0.012283562,3.147554833,27.82270528,30.97026011,0.524893387,3.6874762,1.68790779,0.27420976,0.59257585,0.145734916,0.128474844,24.20319641,8.084,1.988135463,1.611918626,3.600054089,31.11066667,161.8533333,22.75235234,141.3866874,4.6666,24.16221766,-1.102194113,-1.09064604,-0.413200091,-1.4449794,0.101417757,-1.101194724,-3.850927742,0.270282368,-2.665039891,0.14012775,-3.341487251,0.196424736,-0.769102014,0.070190646,0,0,8.014262185,-5.691853059,3.147554833,27.82270528,0,0,1,1
102,Unilateral,US as Home,1.7,0.980979316,1.13246728,0.040746971,1.7,0.022586428,0.740153431,0.012052262,3.029421329,27.83405953,30.86348086,0.508221978,3.686724014,1.634297282,0.270730085,0.573754744,0.138449123,0.132280962,24.18975234,8.084,1.950698837,1.704989881,3.655688718,31.11066667,161.8533333,22.81498358,141.3393979,4.6666,24.15201641,-1.152965372,-1.079508885,-0.393185996,-1.400954653,0.091133808,-1.089840468,-3.883192921,0.252606434,-2.771819139,0.147604099,-3.492110413,0.181997463,-0.803770581,0.069452841,0,0,8.888123923,-6.258104178,3.029421329,27.83405953,0,0,1,1
108,Unilateral,US as Home,1.8,0.981284997,1.199565424,0.039970293,1.8,0.022942062,0.740153431,0.011832206,2.907550036,27.85140886,30.7589589,0.492514292,3.685575559,1.583785833,0.267643096,0.556021627,0.131720312,0.135922784,24.17341822,8.084,1.915081988,1.798167274,3.713249263,31.11066667,161.8533333,22.88024084,141.2904715,4.6666,24.1416539,-1.201352782,-1.062486902,-0.372866465,-1.36188999,0.080670846,-1.07249114,-3.917260157,0.232036871,-2.876341104,0.154953276,-3.638617561,0.165421591,-0.837491776,0.068326056,0,0,9.795931789,-6.845993769,2.907550036,27.85140886,0,0,1,1
114,Unilateral,US as Home,1.9,0.98169542,1.266856279,0.039176721,1.9,0.023309282,0.740153431,0.011622529,2.781528918,27.8747115,30.65624042,0.477685259,3.684034707,1.536099882,0.264910285,0.539280462,0.125490445,0.13941984,24.15423029,8.084,1.881145027,1.891539922,3.772684949,31.11066667,161.8533333,22.94809868,141.2399511,4.6666,24.13113683,-1.24729779,-1.039615587,-0.35218782,-1.32699234,0.070013802,-1.049188499,-3.953189243,0.208575287,-2.979059581,0.16217852,-3.781282139,0.146684493,-0.870328536,0.066813725,0,0,10.73703871,-7.456763644,2.781528918,27.8747115,0,0,1,1
