,regionbase,tax_sce,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,conv
0,OECD37 as Home,Unilateral,0.0,1.0000000000000002,0.0,0.0,0.0,0.057913183842328936,0.7795968539285809,0.057913183842328936,9.30397,24.33133,33.6353,2.5271999999999997,2.163499999999999,8.752299999999998,1.0260999999999998,2.4743999999999997,1.0260999999999998,0.0,16.6918,16.496000000000002,6.840666666666666,0.0,6.840666666666666,74.84466666666667,118.11933333333336,55.41093333333333,108.6084666666667,11.2267,17.717900000000004,1.3772642285895623e-15,3.601760371433708e-15,,inf,inf,0.0,-3.552713678800501e-15,-3.552713678800501e-15,0.0,0.0,-0.0,-0.0,-5.61151125566539e-16,-4.80393502755305e-16,0.0,0.0,-5.5511912694313715e-14,-5.5511912694313715e-14,8.06654199,21.09526311,1.23742801,3.2360668900000005,1
1,OECD37 as Home,Unilateral,0.1,0.9953140023867781,0.033854823941640584,0.0,0.1,0.05792887313431036,0.7795968539285809,0.05682789354139846,9.030959832165546,24.274254780746727,33.30521461291227,2.455573794452985,2.173685886877803,8.504241263529147,0.9973367110088074,2.404270258386541,0.978334078160118,0.01900263284868946,16.770106698656985,16.496,6.712472899847625,0.13004697552835695,6.842519875375983,74.84466666666667,118.11933333333333,55.41279116316469,108.60689143926375,11.226700000000001,17.717306540227263,-0.26238303561588594,-0.056941439739530864,-0.17291046949044547,0.05563058723483241,0.18095104745644522,-0.05707521925327441,0.018362843921327254,0.05972929654359049,-0.3300853870877276,0.0050762325609651215,-0.32278459685759564,0.04922219152262752,-0.0726608204707109,0.010161983991491484,0.0,0.0,0.02274285455941502,-0.02273958806311617,7.775614379365677,21.04577889490741,1.2553454527998702,3.228475885839315,1
2,OECD37 as Home,Unilateral,0.2,0.9914366710956455,0.06746678788650234,0.0,0.2,0.05797444455271897,0.7795968539285809,0.05579532705135825,8.749183692036278,24.226927420303923,32.9761111123402,2.3866198363628226,2.18218678315489,8.265437161205417,0.9702332186089758,2.336756933798737,0.9335846594679289,0.03664855914104685,16.834877179209364,16.496,6.590506834421736,0.257395906515723,6.847902740937459,74.84466666666665,118.11933333333333,55.41820543015842,108.60231600353649,11.226700000000001,17.715625339497894,-0.5115318894210205,-0.1039552425126879,-0.15838036964900842,0.036591782134889,0.16064770349690474,-0.10440257969607813,0.024120896162987293,0.10589718097322631,-0.659188887659802,0.010104288944707052,-0.6425478254610681,0.08606758057200073,-0.14464151215452623,0.0186065432512981,0.0,0.0,0.09098276439469015,-0.09105460494201274,7.475832715152379,21.004746073403503,1.273350976883899,3.222181346900422,1
3,OECD37 as Home,Unilateral,0.30000000000000004,0.9883414817206574,0.10090996822261084,0.0,0.30000000000000004,0.05804782890700854,0.7795968539285809,0.05481156953909528,8.457770872859571,24.189080552256144,32.64685142511571,2.3201254403945253,2.189020738291228,8.035151112680042,0.9446189331949633,2.2716517844698534,0.891571829431411,0.05304710376355228,16.886283416085103,16.496,6.474306052911575,0.38226479903167065,6.8565708519432444,74.84466666666665,118.11933333333334,55.42695607488335,108.59494810918157,11.226700000000001,17.71298893327991,-0.7470737829304658,-0.14141942850760972,-0.14391183452362202,0.017457598993655274,0.14014192654130347,-0.14224944774385762,0.01725593884617993,0.13852308757128995,-0.9884485748842877,0.015084033313154332,-0.9597786342686725,0.11071720615559927,-0.216052140390658,0.025371389766188673,0.0,0.0,0.20484825236110013,-0.20542966949022293,7.166301784472092,20.971932838806076,1.2914690883874795,3.2171477134500672,1
4,OECD37 as Home,Unilateral,0.4,0.9860118609796427,0.13425681619441185,0.0,0.4,0.058147167288487955,0.7795968539285809,0.05387308902571243,8.1556926015306,24.160555679793983,32.31624828132458,2.2558874058453684,2.1941926721352774,7.8126793851616085,0.9203378669368131,2.208755855105959,0.852043820823858,0.0682940461129551,16.924395096139552,16.496,6.363453360324469,0.5048512750135314,6.868304635338,74.84466666666665,118.11933333333334,55.43884554689679,108.58497439329602,11.226700000000001,17.70951104824963,-0.9685963222616736,-0.16957851062135315,-0.1294674937973685,-0.001786417155485749,0.11942339559651516,-0.1707743202060179,-0.0023563766192147284,0.15752563521163765,-1.3190517186754178,0.02001541992254996,-1.2750000051667008,0.12322366762903869,-0.2870104316546531,0.03047699746390203,0.0,0.0,0.3646225368131078,-0.36683292379533355,6.84596482234982,20.947201774381384,1.3097277791807793,3.2133539054126,1
5,OECD37 as Home,Unilateral,0.5,0.9844417454134889,0.16757962459057152,0.0,0.5,0.05827078415974173,0.7795968539285809,0.052976696465572175,7.841717866886409,24.141311500350707,31.983029367237116,2.1937093059229382,2.1976922556156717,7.597341705535507,0.8972458036766154,2.1478768227982425,0.8147729154573349,0.08247288821928053,16.94916347368815,16.496,6.257572068715742,0.6253341090435186,6.882906177759262,74.84466666666665,118.11933333333333,55.45369592656425,108.57256308223795,11.2267,17.705289637671356,-1.1756408861493106,-0.18853839000800668,-0.11500446469326304,-0.021163269021775958,0.09847147903873722,-0.19001849964929463,-0.03496744789794093,0.16270153298043155,-1.6522706327628853,0.024898449184721394,-1.5887813930692531,0.12349564904367223,-0.357644573789682,0.03392487944935091,0.0,0.0,0.5707549301354472,-0.5767747926961571,6.513558437287465,20.93051707080406,1.3281594295989447,3.210794429546644,1
6,OECD37 as Home,Unilateral,0.6000000000000001,0.9836367154900442,0.20095222543087196,0.0,0.6000000000000001,0.05841716322169867,0.7795968539285809,0.05211951111763624,7.514352330931925,24.131438669878875,31.6457910008108,2.133398272345274,2.1994908952967984,7.388470124662685,0.8752074920582885,2.088825848801498,0.779551669048392,0.09565582300989647,16.960398367646253,16.496,6.156321906874448,0.7438744680971161,6.900196374971564,74.84466666666665,118.11933333333334,55.4713463245858,108.55786641460752,11.2267,17.700409409348385,-1.3676938265446625,-0.19825364223696867,-0.10047269462092866,-0.040705967295678665,0.07725361135032388,-0.19989133012112603,-0.08098488825545402,0.1536967550013344,-1.9895089991892014,0.02973312475607237,-1.901756154665498,0.11127399702406722,-0.4280971393259507,0.03569481125960067,0.0,0.0,0.8238780212844629,-0.8374006913689747,6.167550248398757,20.921957326784984,1.3468020825331681,3.2094813430938904,1
7,OECD37 as Home,Unilateral,0.7000000000000001,0.9836159424548678,0.23445207990195818,0.0,0.7000000000000001,0.05858492542438156,0.7795968539285809,0.051298931047635755,7.171751544226773,24.13118385737387,31.302935401600642,2.0747609769035305,2.1995373464570185,7.1853951005669385,0.8540936834536406,2.0314136440527446,0.7461893044776491,0.10790437897599138,16.957734650166767,16.496,6.0593955360593705,0.8606167984516316,6.920012334511002,74.84466666666665,118.11933333333334,55.49165048883371,108.54102284899899,11.2267,17.694943947653734,-1.5441746571970874,-0.19850428252583624,-0.08581254524420694,-0.060459826658425864,0.055722711692080366,-0.2001461426261315,-0.14101435932347428,0.12996568007742226,-2.3323645983993586,0.03451940790380881,-2.2146463741019815,0.08609526272858421,-0.49853067389620365,0.0357405018438011,0.0,0.0,1.1248326046685124,-1.1516327347336046,5.806050274145833,20.921736404343147,1.3657012700809403,3.209447453030725,1
8,OECD37 as Home,Unilateral,0.8,0.9844153560183687,0.26816301966861755,0.0,0.8,0.05877280837359775,0.7795968539285809,0.05051260881265153,6.811593768351749,24.140987926670313,30.95258169502206,2.0175982988800505,2.1977511695374545,6.987427030424131,0.8337777472181982,1.975445248001265,0.714508065166638,0.11926968205156024,16.94058220096097,16.496,5.966515677877856,0.9756892653392646,6.94220494321712,74.84466666666665,118.11933333333334,55.514474532335626,108.52215913159878,11.2267,17.688957516718098,-1.7044199326849194,-0.18885692517723415,-0.07095119639527474,-0.0804860432419078,0.033813135560413904,-0.19034207332968833,-0.21592138150031204,0.09071111771662288,-2.6827183049779393,0.039257163930396244,-2.528299177282707,0.047235857802936446,-0.5691358708105563,0.03398287599598145,0.0,0.0,1.4747034446076914,-1.5233859286788691,5.426681070320487,20.930236532423162,1.3849126980312616,3.210751394247152,1
9,OECD37 as Home,Unilateral,0.9,0.9860927592037119,0.3021790802245425,0.0,0.9,0.05897964614808148,0.7795968539285809,0.049758432788189755,6.43088663439785,24.161546796653425,30.592433431051276,1.9616977742225523,2.1940126624061875,6.7938301002406005,0.8141314245987457,1.92071263553984,0.6843392126689157,0.12979221192982993,16.908048834043353,16.496,5.877432908652448,1.0892035745948447,6.966636483247294,74.84466666666667,118.11933333333336,55.539694664790304,108.50139232257317,11.226700000000001,17.68250662419582,-1.8476607084664178,-0.16860121755280713,-0.05579712402743771,-0.10086734368923131,0.011434257881476222,-0.16978320334657582,-0.30692586801062305,0.034792921048282466,-3.0428665689487246,0.0439460924539159,-2.8437417560871094,-0.0063752007532094455,-0.6401439573501876,0.030299498454893447,0.0,0.0,1.8748708905224953,-1.9579036721563696,5.026380310055053,20.94806107269852,1.4045063243427967,3.2134857239549053,1
