,region,tax_sce,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime
0,US as Home,Unilateral,0.0,1.0,0.0,0.0,0.0,0.018967789768514706,0.7401534307632966,0.018967789768514706,4.7114,28.9239,33.6353,1.0741,3.6165999999999996,3.454,0.46050000000000013,1.2126,0.46050000000000013,0.0,23.817500000000003,8.083999999999998,3.0700000000000007,0.0,3.0700000000000007,31.110666666666667,161.85333333333332,22.182166666666667,141.83723333333333,4.6666,24.278000000000002,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,4.7114,28.9239
1,US as Home,Unilateral,0.1,0.9990082664471582,0.03448454694677758,0.0,0.1,0.018973298706261882,0.7401534307632966,0.01859258468418357,4.552033683364104,28.909554041221014,33.461587724585115,1.0392912133299819,3.620190264152631,3.3420648457701865,0.445729015173459,1.1733027886453178,0.4367623703935254,0.00896664477993361,23.84101018374223,8.083999999999998,3.0092718064173916,0.061619833520111154,3.0708916399375026,31.11066666666666,161.85333333333332,22.18306049211658,141.83647543938642,4.666600000000001,24.27771477722943,-0.15403642341749424,-0.014338844506451757,-0.08258459999284694,-0.07021244428863246,0.07097634890149236,-0.01434595877898559,-0.012196763459819238,0.012329463068319058,-0.17371227541488565,0.00515114536857042,-0.15373715385625586,0.008616626811612115,-0.0353853077094689,0.003588483271102056,0.0,0.0,0.027942867867680018,-0.02789401832833604,4.552033683364104,28.909554041221014
2,US as Home,Unilateral,0.2,0.9983930723576256,0.06892685617607368,0.0,0.2,0.01898928045153095,0.7401534307632966,0.018236624326675274,4.387727423364971,28.900651349302418,33.288378772667386,1.006352426563997,3.6224209683864164,3.2361430791844747,0.43203243577560063,1.1361167046378382,0.4148229163220792,0.017209519453521487,23.85531200948324,8.083999999999998,2.951658436020149,0.12181990266163553,3.073478338681785,31.11066666666666,161.85333333333332,22.1856620280321,141.83427674545382,4.6666,24.276908879601756,-0.30194552158058013,-0.023229968744466385,-0.06701420629788048,-0.09469099871773234,0.04371428569492747,-0.023248650697581752,-0.032850317492506775,0.015165413645252812,-0.346921227332615,0.010249528510468786,-0.3040325677765628,0.008898190642873914,-0.06997843848815079,0.005816288941732384,0.0,0.0,0.11161585187996854,-0.11140812317635619,4.387727423364971,28.900651349302418
3,US as Home,Unilateral,0.30000000000000004,0.9981421344991405,0.10336464363908887,0.0,0.30000000000000004,0.01901498880011265,0.7401534307632966,0.017898351370425246,4.21797088174393,28.897019150964958,33.11499003270889,0.9751188293325328,3.6233316628946635,3.1357047169859116,0.4192965538421564,1.1008556861080243,0.39449251080019565,0.024804043041960794,23.860684043622424,8.083999999999998,2.896907830474561,0.1807314901196669,3.0776393205942276,31.11066666666666,161.85333333333332,22.18986197794043,141.8307399108282,4.666599999999999,24.275648236948165,-0.44355591609751904,-0.026855874664431886,-0.051663144519393474,-0.11883033434240443,0.01674436567994511,-0.02688084903504162,-0.06182860737488838,0.008712260359242663,-0.5203099672911122,0.015295955229178704,-0.4511624117691176,0.0010615292168962053,-0.10384295771679715,0.006725405756361598,0.0,0.0,0.2509893423519684,-0.25074529374497706,4.21797088174393,28.897019150964958
4,US as Home,Unilateral,0.4,0.9982486775133206,0.13783458090142797,0.0,0.4,0.01904976183040645,0.7401534307632966,0.017576378918162504,4.042159512158542,28.898561362870954,32.9407208750295,0.9454412711782781,3.6229449449500923,3.040270133739664,0.407420986177792,1.067351350368476,0.375605682254819,0.03181530392297302,23.85729169369584,8.083999999999998,2.844795515834329,0.23847193562304275,3.083267451457372,31.11066666666666,161.85333333333332,22.195563581966024,141.82595599959456,4.666600000000001,24.273988794722342,-0.5786780184193901,-0.025316445825507957,-0.03648056242709877,-0.14269362182429807,-0.009995081808096525,-0.02533863712904605,-0.09911201098559275,-0.006942375176276272,-0.6945791249705024,0.020291199227476908,-0.5953956670924887,-0.014793133777743302,-0.13704077615909757,0.00633938568140323,0.0,0.0,0.4462017571398599,-0.44684130415166173,4.042159512158542,28.898561362870954
5,US as Home,Unilateral,0.5,0.9987109808089848,0.17237329886616554,0.0,0.5,0.019093010339490082,0.7401534307632966,0.017269466245431166,3.8595663413843595,28.90525225764827,32.76481859903263,0.9171842015486255,3.6212678837980223,2.949403437435018,0.396316617082401,1.0354506682784315,0.35801701788950635,0.038299599192894655,23.84519681128113,8.084,2.7951206767105194,0.2951466901037526,3.090267366814272,31.11066666666667,161.8533333333333,22.202680906889004,141.8200060715412,4.666600000000001,24.27197822675896,-0.7071019006445406,-0.01863572241099001,-0.021422332896492473,-0.16632708807047802,-0.03655297838998618,-0.01864774235172817,-0.14478463664241303,-0.031818687838445214,-0.8704814009673711,0.025236022090016408,-0.7369963919620109,-0.03867293821005222,-0.16963267145382027,0.004664874008620702,0.0,0.0,0.6976842374268618,-0.7013237142414372,3.8595663413843595,28.90525225764827
6,US as Home,Unilateral,0.6000000000000001,0.999533543026982,0.2070183631121176,0.0,0.6000000000000001,0.0191442079307768,0.7401534307632966,0.01697650079736609,3.6693062745375045,28.917153335730145,32.58645961026765,0.8902227865496989,3.6182877755632967,2.8627031977866677,0.38590339604750806,1.0050127092171721,0.3415978079860062,0.04430558806150191,23.824329944686777,8.083999999999998,2.747703242389693,0.3508506252329559,3.098553867622649,31.110666666666667,161.8533333333333,22.211137375824478,141.81296254585405,4.6666,24.269657327626057,-0.8285917616570395,-0.006745090694377656,-0.006432498534478148,-0.18979968018160845,-0.06300184885069426,-0.0067466642698548185,-0.1990695705327532,-0.06607888370242065,-1.048840389732348,0.03013115402594846,-0.8762317426650129,-0.07072152570511568,-0.20168013431545276,0.0016873818647376655,0.0,0.0,1.0060701914395473,-1.0167223143657784,3.6693062745375045,28.917153335730145
7,US as Home,Unilateral,0.7000000000000001,1.000727640318995,0.24180937222188825,0.0,0.7000000000000001,0.019202882505577525,0.7401534307632966,0.016696482626142446,3.4702811674851572,28.934421184349837,32.40470235183499,0.864441050173271,3.6139703294766203,2.7797964689493324,0.3761087396569411,0.9759065426311407,0.32623350540565793,0.04987523425128316,23.79447859653328,8.084,2.702381367983242,0.40566917515284034,3.1080505431360823,31.110666666666667,161.8533333333333,22.220864501995162,141.80489037166765,4.6666,24.267061149209717,-0.942881340905238,0.010525011936785724,0.008549654198938163,-0.2131846519860907,-0.08942186302504576,0.010521184349837398,-0.2623445313589592,-0.11004233433315491,-1.2305976481650092,0.0349772798421234,-1.0133767704300998,-0.11123253864840744,-0.23324647261795975,-0.002630627018561677,0.0,0.0,1.372305533920129,-1.3965787299406256,3.4702811674851572,28.934421184349837
8,US as Home,Unilateral,0.8,1.0023131150438016,0.27678969757534666,0.0,0.8,0.019268609275177286,0.7401534307632966,0.016428509679049547,3.261101662377115,28.95733283177841,32.218434494155524,0.8397292144175843,3.608253694098328,2.7003302361030967,0.3668657195103286,0.9480082351762058,0.3118211875175687,0.055044531992759924,23.755248082308814,8.083999999999998,2.6590090532530994,0.459679586631929,3.118688639885028,31.11066666666666,161.8533333333333,22.231800850848845,141.79584798943102,4.6666,24.264219918332998,-1.0496656737727146,0.03347149132665455,0.023596334048998253,-0.2365714932250201,-0.11591255726466786,0.03343283177840917,-0.3351899884166514,-0.16423250408253054,-1.416865505844477,0.03977505168676376,-1.1487251438591968,-0.1606919599977286,-0.264399279350955,-0.008355951450318378,0.0,0.0,1.797664505797275,-1.8457559866669873,3.261101662377115,28.95733283177841
9,US as Home,Unilateral,0.9,1.0043212127128798,0.31200860988813994,0.0,0.9,0.019341004255509813,0.7401534307632966,0.016171767569838784,3.039966083901299,28.986325796104445,32.02629188000574,0.8159809050573795,3.6010391438719225,2.623962430004831,0.35811126689578254,0.9211976961852512,0.2982673235228743,0.05984394337290827,23.70600042826259,8.083999999999998,2.6174544870703067,0.5129515216981434,3.13040600876845,31.110666666666667,161.85333333333335,22.243891062404657,141.78588822588014,4.6666,24.26115981352708,-1.1485904865254186,0.06256062521141496,0.038797688668388106,-0.26007496573834954,-0.14260286080502996,0.06242579610444565,-0.41846273168023274,-0.22944916096970402,-1.6090081199942574,0.04452505896923464,-1.2826030008720217,-0.21984416960520187,-0.29521362088814973,-0.015594428689436892,0.0,0.0,2.283791178703625,-2.37090594981017,3.039966083901299,28.986325796104445
