,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cec_prime,Cecstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCec,delta_UCecstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv,petb,Qeworld_chg
0,Unilateral,OECD37 as Home,0.0,1.0,0.0,0.5,0.0,0.054859959706182876,0.7786238142659195,0.054859959706182876,8.62549,23.6505,32.27599,2.5445,1.8967,8.74917,0.9105699999999999,2.48754,0.9105699999999999,0.0,15.68751,16.5836,6.070466666666665,0.0,6.070466666666665,74.91139999999999,110.65386666666664,54.73852666666666,102.99194999999999,11.236709999999999,16.59808,0.0,0.0,,-inf,,0.0,3.379225999999999,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,8.62549,23.6505,0.0,0.0,3.0,1.0,1.0,3.098277358772504e-05
1,Unilateral,OECD37 as Home,0.1,0.9936666826814524,0.03997844488146787,0.6828229883133116,0.1,0.05488072532142868,0.7786238142659195,0.05364566727845646,8.334406874237207,23.57548798200281,31.909894856240015,2.461676528934833,1.908788966217196,8.464384530029777,0.8813243962198894,2.4065705768467494,0.8614320677572006,0.01989232846268883,15.787150363464338,16.583599999999997,5.936100514274683,0.13666394801265153,6.072764462287336,74.91139999999999,110.65386666666663,54.740831220317844,102.98999687372239,11.236709999999999,16.597346751832426,-0.28137048689265187,-0.07477435477560716,-0.20489760455924208,9.281458654198318,0.22530680154418936,-0.07501201799719226,3.397896940311089,0.08248372590142239,-0.36609514375998486,0.00599878867045367,-0.37183996429092914,0.06993667927034923,-0.08420140674078638,0.012050603514178306,0.024494056209711935,-0.02437636187885468,8.334406874237207,23.57548798200281,0.0,0.0,3.0,1.0,1.0336451275629204,1.134295277481683
2,Unilateral,OECD37 as Home,0.2,0.9883698702468577,0.07957097620219883,0.19087188630742366,0.2,0.05494072852411719,0.7786238142659195,0.05250029979624928,8.035794827443738,23.51256859523587,31.548363422679607,2.3826226035464027,1.919018433378868,8.192560504723943,0.85412637570889,2.329286316064381,0.8159667072755769,0.038159668433313136,15.870748254173916,16.583599999999997,5.809361173614194,0.2700428750630066,6.079404048677201,74.91139999999999,110.65386666666664,54.74751651967775,102.98435322529102,11.236709999999997,16.595289435278644,-0.5502984785258433,-0.13712854278546205,-0.18956345062612623,4.678513232398512,0.20493075419373344,-0.13793140476413157,3.4042105702382983,0.14911306326167306,-0.7276265773203932,0.011932001005030668,-0.7386153746157986,0.12518991098323554,-0.16725596911461663,0.02218814416292962,0.09753651632329878,-0.09672672727390894,8.035794827443738,23.51256859523587,0.0,0.0,3.0,1.0,1.0679408464490565,2.254419932210919
3,Unilateral,OECD37 as Home,0.30000000000000004,0.9840476208833486,0.1188845879797566,0.12672063253934596,0.30000000000000004,0.05503683861734783,0.7786238142659195,0.05141793252535151,7.728998371537955,23.461100750045222,31.190099121583177,2.3070320909594733,1.9274473711926583,7.932645297410057,0.8287493064236432,2.2553879377265975,0.7737909461997716,0.05495836022387168,15.938836512406397,16.583599999999997,5.689593049935908,0.4004459521829498,6.090039002118858,74.91139999999999,110.65386666666662,54.75827105105637,102.97531351486559,11.236709999999999,16.592094750798502,-0.8065427550805617,-0.18788654120448423,-0.17441830824743054,3.1295966451874966,0.1844137325424995,-0.18939924995477853,3.3984004501329927,0.2002531900226998,-1.0858908784168229,0.017799220161671014,-1.1008860725135297,0.16635124078300792,-0.24929046059840188,0.03050080973900264,0.21861048914432243,-0.21625958874108217,7.728998371537955,23.461100750045222,0.0,0.0,3.0,1.0,1.1029322088631053,3.364422104402113
4,Unilateral,OECD37 as Home,0.4,0.9806513674588322,0.15802026917576484,0.09567246666511159,0.4,0.05516629138496828,0.7786238142659195,0.05039329718706043,7.413264363179305,23.420579991227715,30.83384435440702,2.2346213940310324,1.9341226280190995,7.683663769705042,0.8049921894388146,2.1845981931648466,0.7345682032150391,0.07042398622377545,15.991845830926588,16.583599999999993,5.576213187830692,0.5281502635760729,6.1043634514067655,74.91139999999997,110.65386666666664,54.77282005168271,102.96313773297089,11.236709999999997,16.587918838855835,-1.0498406266818028,-0.22769206830785985,-0.15942911832441697,2.3441599220038523,0.1637703161995069,-0.2299200087722859,3.380620024091435,0.23618064838450437,-1.44214564559298,0.0236002751533243,-1.4592255890567558,0.1938701645196323,-0.330434754599427,0.037058231842671985,0.38736145359187407,-0.38269258122417815,7.413264363179305,23.420579991227715,0.0,0.0,3.0,1.0,1.138671636634597,4.4681981831484165
5,Unilateral,OECD37 as Home,0.5,0.9781450828363231,0.19707478924154648,0.07992062220473148,0.5,0.05532663731245046,0.7786238142659195,0.04942170234933398,7.087717386459622,23.390632451271273,30.478349837730896,2.1651267157491496,1.9390783977568515,7.4447088652509255,0.7826756032653633,2.116659190605085,0.6980015996108445,0.08467400365451885,16.03010056779145,16.5836,5.468702462202889,0.6534038860840318,6.12210634828692,74.91139999999999,110.65386666666664,54.790920345622844,102.94805627062276,11.236709999999999,16.582892877406124,-1.2799073942816668,-0.25702262778575896,-0.14456038209599495,1.864074818047431,0.1430066896642821,-0.2598675487287281,3.3509357583965347,0.2570745688136675,-1.7976401622691043,0.029335156738072188,-1.8142261378742912,0.20805520760323254,-0.410822955101728,0.041911898630682135,0.6036039466368524,-0.5962402441465963,7.087717386459622,23.390632451271273,0.0,0.0,3.0,1.0,1.1752198720778695,5.569618794984221
6,Unilateral,OECD37 as Home,0.6000000000000001,0.9765050677704207,0.23614280429021803,0.06491855994716303,0.6000000000000001,0.05551569656099585,0.7786238142659195,0.048498964155335285,6.751328510800395,23.371015176003805,30.1223436868042,2.098300799947936,1.9423350298945095,7.214930402782661,0.7616379794838739,2.0513292088435797,0.6638280621393232,0.09780991734455068,16.05380918607837,16.5836,5.366597913115916,0.7764285720516456,6.143026485167562,74.9114,110.65386666666666,54.812355825576205,102.93027415427422,11.23671,16.57712759415741,-1.4964343180919393,-0.2761950805642914,-0.12977285187625245,1.5366099691695678,0.12211949280868094,-0.2794848239961958,3.3093143949219517,0.26300219545675674,-2.1536463131958,0.03500394648137983,-2.166508397605741,0.2090676256342068,-0.4905956118568349,0.045094685386117134,0.8673208282687084,-0.8576339688883071,6.751328510800395,23.371015176003805,0.0,0.0,3.0,1.0,1.2126478720606386,6.672624591634041
7,Unilateral,OECD37 as Home,0.7000000000000001,0.9757202090680339,0.27531869018799415,0.05333922040721599,0.7000000000000001,0.05573151973478536,0.7786238142659195,0.04762134604527346,6.4028732537485356,23.361621148013892,29.764494401762427,2.0339095782818357,1.9438974230242156,6.993523546872111,0.7417322597423202,1.9883794192804862,0.6318132168689429,0.10991904287337725,16.06305130431876,16.583599999999997,5.269486075780883,0.8974220780827629,6.166908153863646,74.91139999999999,110.65386666666666,54.83693348870072,102.90997473588256,11.23671,16.570716919780555,-1.6990859233928475,-0.28536470976389433,-0.11502263917517025,1.2962820742683558,0.10109553337997826,-0.28887885198610874,3.2556067235992465,0.25390098708529507,-2.5114955982375733,0.040606757222297896,-2.516734543432366,0.19690990188630858,-0.5699026713124805,0.0466197569018707,1.1786703199376114,-1.1681646327749289,6.4028732537485356,23.361621148013892,0.0,0.0,3.0,1.0,1.2510388992560282,7.781340928979974
8,Unilateral,OECD37 as Home,0.8,0.9757929508109621,0.3146992127810726,0.04731937084736759,0.8,0.055972353436041095,0.7786238142659195,0.046785506840772345,6.040874589209281,23.36249195777709,29.403366546986373,1.9717283375918953,1.9437525126859039,6.77971562955743,0.7228227033183751,1.9275901390816832,0.6017468355457857,0.12107586777258941,16.057757321220738,16.5836,5.1769972358912435,1.0165600982399947,6.193557334131239,74.91139999999999,110.65386666666666,54.86447992668207,102.88732293265508,11.236709999999999,16.56374096354981,-1.887496085306653,-0.28451501140777385,-0.10025958742374123,1.1103172805180361,0.07991041672524048,-0.2880080422229092,3.1895234603024214,0.22955253722501823,-2.8726234530136274,0.0461436795860205,-2.865627137516587,0.17140479896735056,-0.6489077542635651,0.04647835968589263,1.5379927932569837,-1.5297629320543873,6.040874589209281,23.36249195777709,0.0,0.0,3.0,1.0,1.2904921635920346,8.900215184699562
9,Unilateral,OECD37 as Home,0.9,0.9767411985742412,0.35438604861966405,0.044776480171089664,0.9,0.056236606804659445,0.7786238142659195,0.045988464385020154,5.663520952539566,23.373840703082426,29.037361655621993,1.9115377627225016,1.9418654632042058,6.572752543713431,0.704781851295655,1.868746962579183,0.5734389499943294,0.13134290130132542,16.037677456621648,16.583599999999997,5.088801406264768,1.1339965848837819,6.222797991148551,74.91139999999999,110.65386666666666,54.89483784499531,102.8624683741904,11.236709999999997,16.556268535108707,-2.061263934102204,-0.273435605462629,-0.0854248365354528,0.9604684725867292,0.05852624968547004,-0.2766592969175754,3.110600419200832,0.1895447711215077,-3.2386283443780073,0.05161467467067071,-3.213992759996225,0.13216159503163502,-0.7277935069793898,0.04463609569826743,1.9458278990117213,-1.945122623792828,5.663520952539566,23.373840703082426,0.0,0.0,3.0,1.0,1.3311272471939053,10.034199852453867
