,regionbase,tax_sce,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,conv
0,OECD37 as Home,purete,0.0,1.0,0.0,0.0,0.0,0.057913183842328936,0.7795968539285809,0.057913183842328936,9.30397,24.33133,33.6353,2.5272,2.1634999999999995,8.7523,1.0261,2.4744,1.0261,0.0,16.691800000000004,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11933333333334,55.410933333333325,108.60846666666669,11.226700000000001,17.717900000000004,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.8987130744388826e-14,-1.8987130744388826e-14,9.30397,24.33133,1
1,OECD37 as Home,purete,0.1,1.0021988581200403,0.0,0.0,0.04071100585358796,0.057913183842328936,0.7795968539285809,0.057913183842328936,9.123053089970835,24.43844992650547,33.56150301647631,2.5216552379041923,2.158753207979471,8.733097158400152,1.0238487019679852,2.4689710828862514,1.0238487019679852,0.0,16.65517762743321,16.496000000000002,6.840666666666666,0.0,6.840666666666666,74.84466666666668,118.11933333333337,55.410933333333325,108.60846666666669,11.226700000000003,17.717900000000007,-0.17742175947037353,0.10723774037837434,1.4515488491623507,-0.6341462681336469,-0.5910873390282871,0.10711992650546875,-0.046798081701069805,-0.04362046261933372,-0.07379698352369246,0.0,-0.024658819757717734,-0.038916378150771556,-0.0055508537051597966,-0.004752006960712732,0.0,0.0,0.0049244108286394216,-0.0049356081694222256,9.123053089970835,24.43844992650547,1
2,OECD37 as Home,purete,0.2,1.0044229344131406,0.0,0.0,0.08110117673438938,0.057913183842328936,0.7795968539285809,0.057913183842328936,8.940150630679977,24.547037731513743,33.48718836219372,2.516071580421031,2.1539731181706627,8.713759612740972,1.0215816115345124,2.4635040830143238,1.0215816115345124,0.0,16.61829835631203,16.496000000000002,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11933333333334,55.41093333333333,108.60846666666669,11.2267,17.7179,-0.34977813525592283,0.21618511295807757,1.4563861065115766,-0.6341462689503923,-0.5910873397896216,0.21570773151374212,-0.09392444250298482,-0.08754691398279846,-0.14811163780628078,0.0,-0.04954547018415588,-0.07819231708123095,-0.011152993510951087,-0.009547919223228344,0.0,0.0,0.01974308994563921,-0.01983531808333122,8.940150630679977,24.547037731513743,1
3,OECD37 as Home,purete,0.30000000000000004,1.0066734384995653,0.0,0.0,0.12116649085342443,0.057913183842328936,0.7795968539285809,0.05791318384232893,8.755164045426518,24.65716085919816,33.41232490462468,2.5104466884184027,2.1491577280758203,8.694279262046685,1.0192977789593711,2.457996710122861,1.019297778959371,4.905375418983086e-16,16.581146736998374,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11933333333333,55.41093333333333,108.60846666666666,11.2267,17.7179,-0.5170704699977081,0.3269192705106039,1.4612881256972285,-0.6341462689586101,-0.5910873397972659,0.3258308591981596,-0.1413988248029483,-0.1317977559664385,-0.22297509537531823,0.0,-0.07467180934302195,-0.11784653110519822,-0.016809088741274365,-0.01439002195779799,0.0,0.0,0.044527256832926375,-0.04484788717100463,8.755164045426518,24.65716085919816,1
4,OECD37 as Home,purete,0.4,1.0089516786216695,0.0,0.0,0.16090263342899128,0.057913183842328936,0.7795968539285809,0.057913183842328936,8.567986748491506,24.768892224716904,33.336878973208414,2.504778032038573,2.144304871919694,8.674647344812916,1.0169961770634615,2.452446487209657,1.0169961770634615,0.0,16.54370606013828,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11933333333334,55.41093333333332,108.60846666666666,11.226700000000001,17.717900000000004,-0.6792990062394196,0.439523591818227,1.4662580228386182,-0.6341462690044857,-0.5910873398400225,0.43756222471690265,-0.18924258073237255,-0.17639289087856724,-0.298421026791587,0.0,-0.10005066481929083,-0.15789926462822673,-0.022522026965298945,-0.019280787171345463,0.0,0.0,0.07935245649258482,-0.08013574224342147,8.567986748491506,24.768892224716904,1
5,OECD37 as Home,purete,0.5,1.0112590731473683,0.0,0.0,0.20030496530887473,0.057913183842328936,0.7795968539285809,0.057913183842328936,8.378503210093609,24.882310851580854,33.260814061674466,2.499062868365204,2.1394122015305945,8.654854361662224,1.0146756921611015,2.4468507286652663,1.0146756921611015,0.0,16.505958209155715,16.496000000000002,6.840666666666666,0.0,6.840666666666666,74.84466666666667,118.11933333333336,55.41093333333334,108.60846666666671,11.2267,17.717900000000004,-0.8364628014121943,0.5540884063562403,1.4712991735937873,-0.6341462691771088,-0.5910873400009307,0.550980851580853,-0.2374788606484266,-0.2213538971525928,-0.37448593832553456,0.0,-0.1256959469892504,-0.19837247090960297,-0.02829493949524092,-0.0242228955357525,0.0,0.0,0.12429891858981393,-0.12587651474691985,8.378503210093609,24.882310851580854,1
6,OECD37 as Home,purete,0.6000000000000001,1.013597163860313,0.0,0.0,0.23936848703316296,0.057913183842328936,0.7795968539285809,0.05791318384232893,8.186587876232394,24.99750260789943,33.18409048413183,2.4932982156097285,2.134477164241709,8.634889985945327,1.0123351135791163,2.4412065149986995,1.012335113579116,4.871867558658131e-16,16.467883489757234,16.496000000000002,6.840666666666665,0.0,6.840666666666666,74.84466666666667,118.11933333333336,55.410933333333325,108.60846666666669,11.226700000000001,17.717900000000004,-0.9885596336184682,0.6707118313050954,1.4764152449614187,-0.6341462689496051,-0.5910873397888748,0.6661726078994299,-0.28613283100235876,-0.26670423242194374,-0.4512095158681717,0.0,-0.1516227799104247,-0.23929001863191446,-0.034131230850527154,-0.02921926161171078,0.0,0.0,0.17945195938657554,-0.18226480892588903,8.186587876232394,24.99750260789943,1
7,OECD37 as Home,purete,0.7000000000000001,1.0159676314012618,0.0,0.0,0.2780877974540429,0.057913183842328936,0.7795968539285809,0.05791318384232893,7.992103915142969,25.114561061583657,33.10666497672663,2.4874808230990473,2.129496977198001,8.614742959801276,1.0099731214711665,2.4355106634521535,1.0099731214711665,4.860500460381907e-16,16.42946043170492,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666664,118.11933333333332,55.41093333333331,108.60846666666664,11.226699999999997,17.7179,-1.1355858967351293,0.7895007436130047,1.481610235988134,-0.6341462689496595,-0.5910873397889219,0.7832310615836562,-0.3352319276449265,-0.3124694696259134,-0.5286350232733739,0.0,-0.17784765344514938,-0.2806779319814204,-0.04003461300173634,-0.03427306316447315,0.0,0.0,0.2449024305727638,-0.2495142496957413,7.992103915142969,25.114561061583657,1
8,OECD37 as Home,purete,0.8,1.0183723132566478,0.0,0.0,0.31645704592694457,0.057913183842328936,0.7795968539285809,0.05791318384232893,7.794901754437481,25.233588476643227,33.02849023108071,2.481607136311748,2.124468597424211,8.594400973069527,1.0075882726216698,2.4297596937677226,1.0075882726216698,4.849023363928058e-16,16.39066555788558,16.495999999999995,6.840666666666665,0.0,6.840666666666666,74.84466666666665,118.11933333333333,55.41093333333331,108.60846666666664,11.2267,17.7179,-1.2775364837417473,0.9105719124836363,1.4868885157371803,-0.6341462689498513,-0.5910873397890967,0.902258476643226,-0.3848061509224898,-0.35867757206854023,-0.6068097689192911,0.0,-0.20438860047839347,-0.3225646703319878,-0.04600914526343474,-0.0393877753155433,0.0,0.0,0.3207472298238493,-0.3278598610427004,7.794901754437481,25.233588476643227,1
9,OECD37 as Home,purete,0.9,1.0208132248812316,0.0,0.0,0.3544698766823194,0.057913183842328936,0.7795968539285809,0.05791318384232893,7.594817365375714,25.354696982769905,32.94951434814562,2.4756732557946943,2.119388686653933,8.57385052100819,1.005178983765011,2.4239497879623264,1.0051789837650107,4.837428649823264e-16,16.35147311296054,16.496,6.840666666666665,0.0,6.840666666666666,74.84466666666664,118.11933333333332,55.41093333333331,108.60846666666664,11.226699999999997,17.7179,-1.4144046559321015,1.0340533285785163,1.492254875853256,-0.6341462689504413,-0.5910873397896508,1.023366982769904,-0.4348884124232022,-0.40535921662051777,-0.6857856518543812,0.0,-0.23126540507632515,-0.3649814567594949,-0.05205928115197754,-0.04456721065697348,0.0,0.0,0.4070898755348408,-0.4175608499707972,7.594817365375714,25.354696982769905,1
