,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cey_prime,Cex_prime,Cem_prime,Ceystar_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,Vgx_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Cex1_prime,Cex2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
32,EC_hybrid,OECD37 as Home,3.2,1.007907776102444,1.0684946537632491,1.9771078567599303e-05,3.2,0.04923389194140185,0.8194977073856359,0.032472762522413434,1.242909593652371,23.743827289844006,24.986736883496377,5.439056436054402,0.9034259101771721,1.1980047625743242,17.446248969323094,6.3424823462315745,6.637061198628727,18.644253731897418,18.349674879500267,6.0704666666666665,16.583599999999993,4.003843992295209,2.0666226743714464,0.2892390175459042,0.15825344684375345,57.3156916023798,42.617581843728516,69.15735999999998,113.73991666666663,13.781209999999998,18.494779999999995,-2.0149031665456114,0.09369605328906416,0.012803409121944543,-0.1958357386260307,-0.01990671995889387,0.09332728984400518,-1.4274962681025833,-0.145105120499732,-7.289253116503623,0.10274396085943804,-10.069059108382469,-0.14567734354522657,16.361495798417362,-9.026996909565025,0.0,20.182253196367405,1.242909593652371,3.5615740934766014,3.0,1.0
33,EC_hybrid,OECD37 as Home,3.3000000000000003,1.0047866196231394,1.0987741375468967,1.9972435646368282e-05,3.3000000000000003,0.04923389194140185,0.8194977073856359,0.03217069996675045,1.2510115148988048,23.707035401098008,24.958046915996814,5.36883468105463,0.906232211115155,1.1825377421609304,17.500442040714297,6.275066892169785,6.551372423215561,18.68297978287523,18.406674251829454,6.0704666666666665,16.5836,3.9666001222070455,2.1038665444596134,0.2828489804728762,0.15924689301517034,56.76219983441868,42.03402166994905,69.15736,113.73991666666663,13.781210000000002,18.494779999999995,-1.997970419364906,0.05667065398512117,0.007725586336082792,-0.18977603421931286,-0.012039687540497735,0.05653540109800659,-1.3887702171247724,-0.08810574817054473,-7.317943084003186,0.1049077082951384,-10.248142032078976,-0.08831627688251066,17.1473190310889,-9.137614052302018,0.0,20.150980090933306,1.2510115148988048,3.556055310164701,3.0,1.0
34,EC_hybrid,OECD37 as Home,3.4000000000000004,1.0017546451112327,1.1289502503688735,2.017274630585166e-05,3.4000000000000004,0.04923389194140185,0.8194977073856359,0.03187603382270084,1.2590571166968,23.67124002324388,24.930297139940677,5.300438272568326,0.90897507133485,1.167472771963818,17.55340999496687,6.209413343903176,6.467911044532144,18.72088276693069,18.46238506630172,6.0704666666666665,16.583599999999997,3.9302682188227402,2.1401984478439187,0.27668788031490643,0.16015302384648755,56.22474399307491,41.46872440447119,69.15735999999998,113.73991666666664,13.781209999999998,18.494780000000002,-1.9809369281499776,0.020758216275826635,0.002823426413136258,-0.1838992262274362,-0.004410058290677869,0.020740023243877914,-1.3508672330693123,-0.03239493369827784,-7.345692860059323,0.10703238675482218,-10.42483601771324,-0.03242333789605504,17.93558956049569,-9.248549993507593,0.0,20.120554019757297,1.2590571166968,3.5506860034865824,3.0,1.0
35,EC_hybrid,OECD37 as Home,3.5,0.9988078602085757,1.1590268695628865,2.0563893690742072e-05,3.5,0.04923389194140185,0.8194977073856359,0.03158847705011215,1.2670474095729594,23.63639844492191,24.90344585449487,5.233797493469819,0.9116568223740755,1.1527944961120622,17.605197856901107,6.145454315843894,6.386591989581881,18.75799235301317,18.516854679275184,6.0704666666666665,16.5836,3.8948128905124872,2.1756537761541765,0.27074452251435793,0.16097744575988715,55.70262674678423,40.920853834783976,69.15736,113.73991666666663,13.781210000000002,18.49478,-1.9638036984521667,-0.014093148730079351,-0.0019127121926681805,-0.17819596886209224,0.002994173902457238,-0.014101555078092076,-1.3137576469868328,0.02207467927518536,-7.372544145505131,0.10911926838818464,-10.599201361959707,0.022061515991556067,18.726216541017173,-9.359747437401225,0.0,20.090938678183623,1.2670474095729594,3.5454597667382868,3.0,1.0
36,EC_hybrid,OECD37 as Home,3.6,0.9959427008801071,1.1890077824254144,2.0580689277303755e-05,3.6,0.04923389194140185,0.8194977073856359,0.03130775706306066,1.2749835210953209,23.60247265874648,24.8774561798418,5.168844919774672,0.9142795054327283,1.1384880638212636,17.65584504456026,6.083124425207401,6.307332983595936,18.794333108381522,18.570124549992986,6.0704666666666665,16.583599999999997,3.8602005278316867,2.2102661388349767,0.26500833503539134,0.1617253376403903,55.19518965071204,40.389622465538714,69.15735999999998,113.73991666666663,13.78121,18.49478,-1.946571396696401,-0.04792987759971641,-0.006491467420567342,-0.1726581134410716,0.010183713668740976,-0.04802734125352259,-1.2774168916184792,0.07534454999298745,-7.3985338201582,0.11116957086383095,-10.771299306925313,0.07519149516816039,19.519093622884196,-9.471163857303889,0.0,20.062101759934507,1.2749835210953209,3.540370898811972,3.0,1.0
37,EC_hybrid,OECD37 as Home,3.7,0.9931556908672665,1.2188964745557156,2.08581519076283e-05,3.7,0.04923389194140185,0.8194977073856359,0.031033615449970027,1.2828664698572443,23.56942537028607,24.852291840143312,5.105517124482365,0.9168451717825336,1.124539504681371,17.705391170486777,6.022362296264898,6.230056629163736,18.82993067516815,18.62223634226931,6.0704666666666665,16.583599999999997,3.826399269011977,2.2440673976546797,0.25946942393014116,0.16240153340718172,54.70181161786432,39.87428924666629,69.15735999999998,113.73991666666663,13.78121,18.494779999999995,-1.9292408334584816,-0.08079702100968655,-0.01092105685981943,-0.16727772305546224,0.01716884759115429,-0.08107462971393176,-1.2418193248318516,0.12745634226931202,-7.423698159856688,0.11318445579547454,-10.941187168423117,0.12701916843994718,20.314130304183877,-9.582754502886495,0.0,20.034011564743157,1.2828664698572443,3.5354138055429107,3.0,1.0
38,EC_hybrid,OECD37 as Home,3.8000000000000003,0.9904435192429393,1.2486962821504313,2.1110802281217358e-05,3.8000000000000003,0.04923389194140185,0.8194977073856359,0.030765806632802508,1.2906972385296926,23.537220938942642,24.827918177472334,5.043753852694764,0.919355806069596,1.1109355469685527,17.753874560601655,5.963109658764361,6.154689399663317,18.864810107570207,18.673230366671252,6.0704666666666665,16.5836,3.793378834641487,2.2770878320251784,0.2541184899853694,0.16301053686334846,54.22190555657748,39.37415544038757,69.15736,113.73991666666663,13.781210000000003,18.494779999999995,-1.9118128138865504,-0.1127373533450173,-0.01520917947041425,-0.16204729508370835,0.02395927038881482,-0.11327906105735863,-1.2069398924297943,0.17845036667125314,-7.448071822527666,0.11516503516187337,-11.108920028871195,0.1775949586674148,21.111242796495684,-9.694477012147901,0.0,20.006637798101245,1.2906972385296926,3.5305831408413964,3.0,1.0
39,EC_hybrid,OECD37 as Home,3.9000000000000004,0.9878031647315759,1.2784104773482756,2.1365618234604464e-05,3.9000000000000004,0.04923389194140185,0.8194977073856359,0.030504099069837427,1.2984767908573336,23.50582688180472,24.80430367266205,4.983497706845392,0.9218132037949452,1.0976635483138948,17.801329888205313,5.905310910640337,6.081161255159286,18.89899343651921,18.723143092000257,6.0704666666666665,16.583599999999997,3.7611106759656523,2.309355990701012,0.24894679624338076,0.16355652440975577,53.75491964478608,38.88856537502952,69.15736,113.73991666666663,13.78121,18.49478,-1.8942881033077548,-0.14378993884024793,-0.019362846867104357,-0.15696009068124628,0.030563795373034663,-0.14467311819528206,-1.1727565634807924,0.22836309200025795,-7.471686327337949,0.11711235915278684,-11.274551177260768,0.22696474172060457,21.910341998154596,-9.806296101785112,0.0,19.979952849534012,1.2984767908573336,3.5258740322707083,3.0,1.0
40,EC_hybrid,OECD37 as Home,4.0,0.985231592177528,1.3080418990139184,2.1642706349434642e-05,4.0,0.04923389194140185,0.8194977073856359,0.030248269444929227,1.3062060651990555,23.475210290627395,24.78141635582645,4.924694035098819,0.9242192467534324,1.0847114711222938,17.84779349303642,5.848913281852251,6.009405506221112,18.932504964158714,18.77201273978985,6.0704666666666665,16.5836,3.729567258431254,2.3408994082354124,0.24394609056794098,0.1640434193311606,53.30032615595674,38.41689430125056,69.15735999999998,113.73991666666663,13.781209999999998,18.494779999999995,-1.8766674438954283,-0.17399372955429404,-0.02338888343686908,-0.15200931899934866,0.03699112890903129,-0.17528970937260624,-1.139245035841288,0.2772327397898522,-7.494573644173549,0.1190274563916649,-11.438132037425794,0.2751754439454599,22.711357518676117,-9.918173462305452,0.0,19.953928747033284,1.3062060651990555,3.521281543594109,3.0,1.0
41,EC_hybrid,OECD37 as Home,4.1000000000000005,0.9827262043607413,1.3375936141837634,2.1921791706159245e-05,4.1000000000000005,0.04923389194140185,0.8194977073856359,0.029998108061846263,1.313886058707281,23.445343229711426,24.75922928841871,4.867290153616161,0.9265754754065211,1.0720677112689094,17.893295123272345,5.793865629022682,5.9393578648850704,18.965362834541256,18.819870598678868,6.0704666666666665,16.583599999999997,3.6987227268004865,2.371743939866182,0.23910858971147986,0.16447483420617032,52.85763036733892,37.95855718790413,69.15735999999998,113.73991666666663,13.78121,18.494779999999995,-1.8589513621049276,-0.2033822793102952,-0.027293242150502918,-0.14718935561619015,0.04324876248594597,-0.20515677028857482,-1.1063871654587452,0.32509059867886947,-7.516760711581291,0.12091129112717935,-11.599713999360636,0.3222665163263473,23.51419622355107,-10.030084994299143,0.0,19.928541745254712,1.313886058707281,3.5168014844567144,3.0,1.0
