,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cey_prime,Cex_prime,Cem_prime,Ceystar_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,Vgx_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Cex1_prime,Cex2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,region_scenario,conv
0,Unilateral,US as Home,0.0,0.9999999788662426,0.0,0.3162538369466241,0.0,0.015920602214279298,0.7935787194577492,0.015920602214279298,4.48004475265991,27.795945706283607,32.27599045894352,4.598403182701287,0.4216010467508265,1.196111047523242,26.059875035396967,5.020004229452113,5.794514230224529,27.25598608292021,26.481476082147793,2.810673535115343,7.974073338389015,2.8106735351153427,0.0,0.4216010467508265,0.0,38.63009135782539,176.54316697859767,28.44668943119115,154.4505812749725,5.7945141077646705,26.4814755224947,-4.7340089664659975e-08,-2.9371638782586436e-07,0.6399837496372148,-2.359593649895392,-4.5368279834337395,-2.9371639342912204e-07,1.0829202103934676e-06,2.082147794624234e-06,4.5894351785591425e-07,5.9400099061690526e-08,0.0,0.00010748122544982737,0.00010748122544982737,1.0,1.0
6,Unilateral,US as Home,0.1,0.9990561512061489,0.02207212993471417,0.0,0.1,0.01592442081084906,0.7935787194577492,0.015718193792024063,4.29974221821943,27.78282531823118,32.08256753645061,4.421059994015946,0.40544377990609265,1.1499815241296614,26.10608107315159,4.826503773922038,5.571041518145607,27.25606259728125,26.511524853057683,2.813545479180594,7.969117399311609,2.774989817320412,0.03855566186018186,0.40044422232279825,0.004999557583294393,38.60608250172392,176.5503220390442,28.518123161668584,154.45017440264246,5.688748143745286,26.495340645976643,-0.1731435228374156,-0.013114489311736637,-0.06783432248794291,0.00040118029636932736,0.15536382127617201,-0.01312068176882164,7.759728125122933e-05,0.03005085305768418,-0.19342246354938908,-0.059384748110991925,0.00330564717032944,0.0866987478159343,0.03662833460350493,1.0,1.0
12,Unilateral,US as Home,0.2,0.9984060970295598,0.044092266127319174,7.761417668291184e-06,0.2,0.015935548578405564,0.7935787194577492,0.015526099403600968,4.112130510474796,27.773785145467663,31.88591565594246,4.251941846793786,0.39022173960826906,1.1059914527522623,26.137762460035844,4.642163586402055,5.357933299546048,27.243753912788108,26.527984199644113,2.817696131598222,7.9642972887615935,2.7411030894737025,0.07659304212451927,0.3806533681695524,0.009568371438716626,38.582731661695206,176.55600244692332,28.588993819473078,154.45350792211684,5.58563669468049,26.502485036440103,-0.33852719194584086,-0.022143191058687776,-0.05681187412076678,-0.03135578486055636,0.11923419305232037,-0.022160854532337737,-0.012231087211890923,0.04651019964411418,-0.3900743440575418,-0.11944902453502149,0.006589673747792735,0.22353048005120543,0.021576857580242404,1.0,1.0
18,Unilateral,US as Home,0.30000000000000004,0.9980487855802913,0.06609580850766025,6.7955951399413315e-06,0.30000000000000004,0.015953538644154656,0.7935787194577492,0.015343562601383504,3.9162475242363364,27.76881483353464,31.685062357770978,4.090359066374679,0.37584040353591935,1.0639614390562298,26.154901538499296,4.466199469910599,5.154320505430909,27.218862977555524,26.530741942035213,2.823020374611308,7.959601038460652,2.70888058869569,0.11413978591561753,0.3620966020097844,0.013743801526134964,38.55998085787563,176.56017778018423,28.659399063536036,154.46068189831493,5.484942372574657,26.502907848414424,-0.49582179055355385,-0.027104692795591346,-0.04591284029804183,-0.06281991193447614,0.08337389980501228,-0.027131166465359513,-0.03712202244447482,0.049267942035214674,-0.5909276422290226,-0.1802895513662781,0.009852226833335309,0.41117559836928197,-0.04773683634126093,1.0,1.0
24,Unilateral,US as Home,0.4,0.9979883398901649,0.08811876962944575,5.397871404999158e-06,0.4,0.01597799814967746,0.7935787194577492,0.015169910508973079,3.7108920667478404,27.767973927450782,31.47886599419862,3.9356656449475786,0.3622137811626893,1.0237234470845407,26.157261803435333,4.297879426110268,4.9593890920321195,27.180985250519875,26.519475584598023,2.829422119369811,7.955016809356841,2.6782038594219024,0.15121825994790916,0.34465547373044186,0.017558307432247438,38.537772736433745,176.56279322506666,28.729444105870694,154.47187229782384,5.386427848069854,26.49649803641711,-0.6446584327525304,-0.02794393267667179,-0.03509124345226174,-0.09408793228441806,0.0476733661531372,-0.027972072549218296,-0.07499974948012422,0.03800158459802461,-0.7971240058013791,-0.24201902835798794,0.013093434826779937,0.6505115340101766,-0.1748802559528473,1.0,1.0
30,Unilateral,US as Home,0.5,0.9982353410968706,0.11019917153383742,4.660665062119525e-06,0.5,0.01600858226217555,0.7935787194577492,0.015004542259275187,3.494534117741246,27.771409989007964,31.26594410674921,3.787241358591728,0.34926199154813853,0.985116147642238,26.144324480038385,4.136503350139867,4.772357506233966,27.129440627680623,26.493586471586525,2.8368121148702685,7.950532421682593,2.64896663657121,0.18784547829905854,0.32822201958891994,0.021039971959218542,38.51604829295439,176.56376160982072,28.799247691107492,154.48735649364664,5.2898458678269975,26.483004129948792,-0.7846165210068747,-0.024514358960531047,-0.024291976390368585,-0.12528576489935367,0.011992001222382987,-0.02453601099203695,-0.1265443723193762,0.012112471586526397,-1.0100458932507905,-0.3047740744144969,0.016313433794028276,0.9427130834645997,-0.36461736591908406,1.0,1.0
36,Unilateral,US as Home,0.6000000000000001,0.9988088157323392,0.1323786892533345,3.924043486704194e-06,0.6000000000000001,0.01604498935557446,0.7935787194577492,0.014846923209657335,3.2651736437813805,27.77938602024373,31.044559664025112,3.6444752499640187,0.33690907790286456,0.9479806219049769,26.115195249139436,3.9813843278668832,4.592455871868996,27.063175871044415,26.4521043270423,2.845105534997416,7.946134865189558,2.6210737019022705,0.22403183309514502,0.31269631338289905,0.024212764519965502,38.494744499790194,176.56295172305963,28.868948637108456,154.50754997937253,5.194928699456296,26.46198932462138,-0.9152084529382627,-0.016550115782954504,-0.013447760114793516,-0.15657331423701118,-0.02385004827288763,-0.016559979756269883,-0.19280912895558444,-0.029369672957699322,-1.2314303359748884,-0.36872524816726093,0.019512326558795867,1.2892989387231755,-0.6233504392175432,1.0,1.0
42,Unilateral,US as Home,0.7000000000000001,0.9997393911069039,0.1547053169196807,3.4708950403905625e-06,0.7000000000000001,0.016086958217777416,0.7935787194577492,0.014696578472932723,3.0201108273207686,27.7923238286323,30.812434655953066,3.5067418318024486,0.32508024612539654,0.9121541716067638,26.068459446770245,3.8318220779278453,4.418896003409213,26.98061361837701,26.39353969289564,2.854219292058933,7.941809516404684,2.5944395394673507,0.25977975259158215,0.2979835822073482,0.027096663918048366,38.47379051408884,176.56017034419165,28.938717064002695,154.53306324132691,5.1013710894301845,26.432760945105546,-1.0358571428354544,-0.0036216993724171326,-0.0024749124673935845,-0.1881523529281433,-0.06008266613355936,-0.003622171367702265,-0.275371381622989,-0.08793430710435857,-1.4635553440469344,-0.4340936423845658,0.02269019122106397,1.692241129894325,-0.9598073263018835,1.0,1.0
48,Unilateral,US as Home,0.8,1.0010752406333498,0.1772376780126131,3.151086260128528e-06,0.8,0.01613426702520399,0.7935787194577492,0.014553090900391981,2.755547672463736,27.810885650439943,30.566433322903677,3.3733640970560717,0.3136979240661859,0.8774606974407929,26.00191069452944,3.687062021122258,4.2508247944968645,26.87937139197023,26.315608618595626,2.8640682137287987,7.937538833544018,2.568987582059639,0.29508063166916015,0.28399050168354506,0.029707422382640868,38.45310135535317,176.5551290294828,29.008773709645705,154.56480738968324,5.008801667375769,26.394238040496425,-1.1458618614177374,0.014947681580246024,0.00873890327246529,-0.2202989892499176,-0.09702245244427636,0.014939650439941943,-0.37661360802976773,-0.16586538140437312,-1.709556677096323,-0.501179333064381,0.025847047344903173,2.1540787742009857,-1.3862839183845608,1.0,1.0
54,Unilateral,US as Home,0.9,1.0028931599799118,0.20005250778370348,2.817259980000328e-06,0.9,0.016186735817907163,0.7935787194577492,0.01441610182394161,2.4658390733593083,27.8361260184699,30.30196509182921,3.243548547075814,0.3026752315831084,0.8436937989539844,25.912048967243187,3.5462237786589226,4.087242346029798,26.755742766197173,26.214724198826296,2.874559053368547,7.933299969892857,2.544649593601274,0.32990945976727304,0.2706194258101609,0.03205580577294751,38.43256634355319,176.5473829030116,29.07942595978165,154.6041893488525,4.916730473256541,26.344705684551073,-1.2443431784411834,0.040238128087439075,0.020354362451856296,-0.25341232105646044,-0.13512990645132403,0.0401800184699006,-0.5002422338028261,-0.2667498011737024,-1.9740249081707901,-0.5704140170878462,0.02898283063090057,2.6781440825476146,-1.920919383348688,1.0,1.0
