regionbase,tax_sce,region_scenario,tb,prop,prop2,te,varphi,pe,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality
OECD37 as Home,EPC_hybrid,3,0.0032004413112794857,0.5041283586810179,0.5348550490154996,0.0,0.0,0.9993416462869041,0.04919254380215584,0.8193572055558584,0.04914460835784624,8.636451423306449,23.619372457895057,32.25582388120151,11.263097918392672,0.9090512616008383,2.487100021796209,17.5965746794118,12.17214917999351,13.750197940188881,20.083674701208007,18.505625941012635,6.065373739107734,16.592489897335856,6.0594633640261515,0.005910375081580858,0.9066148103382324,0.0008844216392823216,91.87470066666666,123.29863979999999,69.1420359778344,113.75530341883226,13.781205100000001,18.494793253114775,0.01097034645398364,-0.03112029577572727,-1.5428635979121121,0.590802945012108,0.5367932419292754,-0.03113054210494326,0.011920701208008921,0.010830941012635265,-0.020177118798493154,-0.015431810045359207,0.00048015180176415637,-7.768205870741493e-05,-7.768205870741493e-05
OECD37 as Home,EPC_hybrid,3,0.14290599341119645,0.9870856916167933,0.3969167194795084,0.2,0.2,0.9809497968772434,0.046922329788670274,0.8193519432900431,0.045552112154319056,8.290603020855785,22.7579922374859,31.048595258341685,10.04724741122313,0.8132239306081036,2.2188281276380515,17.9692957888724,10.860471341831234,12.266075538861182,20.188123916510452,18.782519719480504,5.785459439190064,16.283997216918017,5.616513468644585,0.1689459705454754,0.7496308935512666,0.022637288289896744,91.87470066666666,123.29863979999995,68.90369787417225,113.99364152249436,13.7812051,18.491660117768,-0.32205779806651735,-0.884036758202881,-0.7271521814035604,0.09480965630259276,0.23441695742091523,-0.8925107625140996,0.11636991651045392,0.2877247194805044,-1.2274057416583162,-0.75186985299589,0.021384881188542863,0.13862280967780033,-0.12856842831444698
OECD37 as Home,EPC_hybrid,3,0.2817982623166635,0.9945004964235208,0.42564828533596494,0.4,0.4,0.9667260483918808,0.04506423390846304,0.819387593302498,0.04252702070637959,7.945407437392405,22.10279640822544,30.048203845617845,9.044396158604838,0.7384994937919206,1.9960765037494654,18.269231689471614,9.782895652396759,11.040472662354304,20.265308193221077,19.007731183263534,5.556358744542529,16.034313332473964,5.243523807843038,0.31283493669949103,0.6299665648721703,0.03787336559616002,91.87470066666666,123.29863979999996,68.71174631781145,114.18559307885519,13.781205100000001,18.48448389855715,-0.6278745436293558,-1.5221026465773086,-0.6947250959227442,0.08688142582476639,0.23024366570114804,-1.5477065917745598,0.19355419322107892,0.512936183263534,-2.2277971543821558,-1.5086734057663094,0.04189287989219796,0.5183599881493879,-0.4515684706677429
OECD37 as Home,EPC_hybrid,3,0.4183228149446037,0.9955698377500036,0.45228392333366163,0.6000000000000001,0.6000000000000001,0.9561053586934027,0.04353955802589439,0.8193780704528358,0.039985505747228534,7.590573673502005,21.619810667351818,29.21038434085382,8.215792909325828,0.6794098595652575,1.8135169103805306,18.501664661582204,8.895202768891085,10.029309819706357,20.315181571962736,19.181074521147462,5.36836828208595,15.839311090430165,4.93015847034836,0.43820981173759566,0.5380592341866736,0.048367064815912936,91.87470066666666,123.29863979999999,68.55121075210548,114.34612864456118,13.7812051,18.475308508094127,-0.9157136310550367,-1.9864574446720917,-0.6624090871210757,0.07940574410583202,0.2238634498217403,-2.030692332648183,0.24342757196273723,0.6862795211474619,-3.0656166591461798,-2.2729761379351796,0.061587269356846004,1.097205689486529,-0.904836217031488
OECD37 as Home,EPC_hybrid,3,0.5533891640775186,0.995596744208126,0.4766139838923757,0.8,0.8,0.9482542881428667,0.04226543164722409,0.8193536729895556,0.037815322720294135,7.225073443763733,21.266205801964645,28.49127924572838,7.51954866530474,0.631469886872776,1.660560895101975,18.679699798448897,8.151018552177515,9.180109560406715,20.340260693550874,19.311169685321673,5.211270232662603,15.681937127027554,4.662577855010302,0.5486923776523047,0.465747496329709,0.05562520932187819,91.87470066666668,123.29863979999998,68.41577212690514,114.48156726976154,13.781205100000001,18.46523895662047,-1.185356508790596,-2.323154770505542,-0.6299795210425497,0.07094489660906404,0.21570269581912394,-2.3842971980353553,0.26850669355087575,0.8163746853216729,-3.7847217542716223,-3.0452398535338823,0.08049198095654223,1.844907454922684,-1.4506433369898866
OECD37 as Home,EPC_hybrid,3,0.6878350034854469,0.9934986017300003,0.4989956843962823,1.0,1.0,0.9425919634102972,0.041184717882060254,0.8192539624979257,0.035934735014841235,6.848593964965558,21.012989669579877,27.861583634545436,6.92475475161444,0.5917517055454922,1.5319600449935025,18.81311713239201,7.516506457159933,8.456714796607942,20.345077177385512,19.4048688379375,5.078019695404764,15.559103105037352,4.430703948903356,0.6473157465014072,0.407626717313736,0.06064512108128355,91.87470066666666,123.29863979999996,68.29472242939991,114.60261696726674,13.7812051,18.454862211776046,-1.4359855597220885,-2.5625518734869392,-0.5974771101301455,0.06191602532294066,0.2061594458782641,-2.6375133304201235,0.2733231773855138,0.9100738379374995,-4.414417365454565,-3.827023587841005,0.09865986344587772,2.739087807031989,-2.065735899009571
OECD37 as Home,EPC_hybrid,3,0.8219467497649424,0.9941285668156308,0.5194026141370227,1.2000000000000002,1.2000000000000002,0.938708161401803,0.04025566769294428,0.8192541178131693,0.034289057251642566,6.4585026655185995,20.840184970502836,27.298687636021434,6.412562140937102,0.5582226833647237,1.418643960836904,18.909258850882704,6.970784824301826,7.831206101774006,20.327902811719607,19.467481534247426,4.963469070780833,15.446770413411494,4.227794119151853,0.7356749516289841,0.3601893328730324,0.06403422114585533,91.87470066666663,123.29863979999998,68.19736652757985,114.69997286908679,13.781205099999998,18.444554173254275,-1.6681679205978277,-2.725100855377195,-0.5646254965250498,0.05146326802997559,0.1954240095242705,-2.8103180294971644,0.25614881171960846,0.9726865342474262,-4.977313363978567,-4.617575770237709,0.11609415468912605,3.7628656371070033,-2.7381363109529975
OECD37 as Home,EPC_hybrid,3,0.9564837911357448,0.9928495885706132,0.538284537595738,1.4000000000000001,1.4000000000000001,0.9363086599746403,0.039448455620168583,0.8191763586572306,0.032831180243160875,6.055026538808222,20.733778861459022,26.788805400267243,5.964329266583746,0.5294826810160954,1.3213306089908867,18.97366284367651,6.493811947599842,7.285659875574633,20.2949934526674,19.503145524692606,4.863940920177451,15.35832352543781,4.048039867010368,0.8159010531670858,0.3207990288081215,0.06626921128081686,91.87470066666663,123.29863979999995,68.1066951152674,114.79064428139921,13.7812051,18.434459248436852,-1.8805412101340888,-2.824857532011186,-0.5315509690748096,0.040683706022484854,0.18376427564231818,-2.916724138540978,0.22323945266739997,1.0083505246926059,-5.4871955997327575,-5.419720203705797,0.1328718863268283,4.903244777056772,-3.4582234395750784
OECD37 as Home,EPC_hybrid,3,1.0913772223422646,0.9968173674533221,0.5555805060940552,1.6,1.6,0.9351830764900637,0.03874015786679179,0.8193455541142088,0.03153274564222826,5.6334474015999545,20.68395859938383,26.317406000983784,5.571790356066426,0.5044958915920243,1.230612504697866,19.01050724862747,6.076286247658451,6.802402860764293,20.241119753325336,19.515003140219495,4.776608770612697,15.258785156991143,3.8879446468461216,0.888664123766565,0.28777416460933536,0.06762134466939225,91.87470066666667,123.29863979999996,68.04567585280681,114.85166354385984,13.781205100000001,18.424734688579328,-2.0741633309724397,-2.8714766420234157,-0.49785971375902505,0.028423773280999973,0.17121622469524014,-2.966544400616172,0.1693657533253372,1.020208140219495,-5.958594999016217,-6.2317614636908925,0.14897454160681298,6.150191412277669,-4.226715394956474
OECD37 as Home,EPC_hybrid,3,1.2278185193293478,0.9935962160101165,0.5718002181481012,1.8,1.8,0.9351851048981279,0.038113439469653745,0.8191744173750841,0.030360510920234236,5.19684194195748,20.68404832631533,25.88089026827281,5.219228729933829,0.48249884725661685,1.1563023074883503,19.02286038359401,5.701727577190446,6.37553103742218,20.17916269108236,19.50535923085063,4.699335244707938,15.202658529781216,3.743409700097927,0.9559255446100046,0.2595980185725463,0.06835487776541363,91.87470066666664,123.29863979999996,67.96662868960962,114.930710707057,13.781205099999998,18.415331601841842,-2.2463408468440274,-2.8713927308245673,-0.46386290998334134,0.016795438826334986,0.15802138121503595,-2.9664546736846695,0.1074086910823624,1.0105642308506297,-6.39511073172719,-7.060044281702146,0.1645343109025261,7.495778390725091,-5.033459056699437
