regionbase,tax_sce,region_scenario,tb,prop,te,varphi,pe,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,prop2,-175.3079902
World as Home,Unilateral,4,0.989112793,-97.9362793,2,2,1.215516595,0.322159752,0.999067628,0.230669973,14.55512846,0.110250469,14.66537893,14.58113557,0.014870018,0.013607729,0.05576561,14.59600559,14.5947433,0.069373339,0.070635628,0.214773166,0.186540415,0.15377998,0.060993186,0.010462982,0.004407036,214.5066667,0.66666666,182.3464363,0.554109464,32.176,0.096207847,-9.732530655,0.011337092,0.000582062,-0.001739102,-0.001667424,0.010250469,-0.030626661,-0.029364372,-17.61062207,-0.24092587,0.108782691,9.075207139,-7.344443487,,
China as Home,Unilateral,5,0.774111698,-76.40491982,2,2,1.088570668,0.085962451,0.920722353,0.059001453,0,25.82619774,25.82619774,3.943487056,1.140874834,0.339549024,20.40228682,5.08436189,4.28303608,20.74183585,21.54316166,13.92480004,3.953630995,9.557468815,4.367331229,0.769653672,0.371221162,53.18623853,161.9870067,53.666457,129.4368835,7.97793578,24.04705178,-2.5075814,1.120131773,0.166354464,-0.349361043,-0.427128539,1.072951736,-2.253306153,-2.754890344,-6.449792264,-11.13079949,0.096387455,11.5779424,-12.67566914,,
OECD and China as Home,Unilateral,6,0.985668365,-97.59201355,2,2,1.057019624,0.146758871,0.92389583,0.092463107,3.336400521,16.58118341,19.91758393,9.841532385,0.776017794,0.810677602,8.489356153,10.61755018,10.65220999,9.300033754,9.265373947,10.28961501,10.2406834,6.482809274,3.806805737,0.476049889,0.299967905,145.0609427,70.11238867,122.900606,60.23313887,21.7591414,10.2629094,-5.33527359,0.466292752,0.036689603,-0.12063602,-0.101265724,0.453425412,-1.490870246,-1.251484053,-12.35841707,-9.606043239,0.122710558,8.586563514,-8.452368724,,
US and EU as Home,Unilateral,7,0.778886033,-76.81262674,2,2,1.02092393,0.036413586,0.792002901,0.02391316,0,27.13971426,27.13971426,4.294273428,0.464962173,1.127769121,21.25270954,4.759235602,5.422042549,22.38047866,21.71767172,5.466246547,12.65339705,3.589737793,1.876508754,0.299176402,0.165785771,65.05764133,150.1155782,48.53907803,134.4539625,9.7586462,22.40511508,-1.805275133,0.282474915,0.054427663,-0.27592764,-0.155689637,0.279555265,-1.417239337,-0.799664285,-5.136271735,-3.995779819,0.102687061,7.89510925,-7.894801774,,
US as Home,purete,1,0,1,1.104749998,2,1.104749998,0.015920602,0.793578719,0.015920602,0,29.21550946,29.21550946,4.162392404,0.381625735,1.08269835,23.58893329,4.544018139,5.245090754,24.67163164,23.97055902,2.810673533,7.974073333,2.810673533,0,0.381625735,0,38.63009333,176.5431669,28.4466895,154.4505817,5.794514,26.48147503,-1.493348267,1.493296007,0.463836789,-0.844427316,-0.820431612,1.419563465,-2.584353363,-2.510914978,-3.060480535,-0.294418047,0,7.521878072,-8.323181723,,
EU28 as Home,purete,2,0,1,1.01975,2,1.019756568,0.017931574,0.744319382,0.017931574,0.002398196,31.64827524,31.65067343,2.893417109,0.497840393,0.993915638,27.26550029,3.391257501,3.887332747,28.25941593,27.76334069,3.384506733,6.757013333,3.384506733,0,0.497840393,0,26.427554,188.7456601,19.59679029,163.3004417,3.9641331,28.31184901,-0.311927055,0.311111511,0.492670793,-0.89284639,-0.877173022,0.308073238,-0.558308067,-0.548507313,-0.625312566,-0.066866237,0,2.345999123,-2.38627827,,
OECD37 as Home,purete,3,0,1,1.23025,2,1.230250119,0.049234334,0.819497854,0.049234334,0.002980121,26.23234345,26.23532357,9.179977163,0.740157595,2.021976719,14.29320487,9.920134758,11.20195388,16.31518159,15.03336247,6.070526467,16.58358067,6.070526467,0,0.740157595,0,91.87470067,123.2986398,69.1573995,113.7399399,13.7812051,18.49479597,-2.875165,2.873946885,0.42740909,-0.621879326,-0.573020588,2.581840446,-3.756572409,-3.461432533,-6.040677433,-1.397739444,0,5.871497402,-7.278319538,,
World as Home,purete,4,0,1,1.99,2,2.194713082,0.299999993,0.999067628,0.299999993,14.55810469,0.148145641,14.70625033,14.64701708,0.013669212,0.013669212,0.03189483,14.66068629,14.66068629,0.045564042,0.045564042,0.199999993,0.199999993,0.199999993,0,0.013669212,0,214.5066667,0.66666666,182.3306667,0.566666661,32.176,0.099999999,-9.731921506,0.075045725,0.002740257,-0.003098277,-0.003098277,0.048145641,-0.054435958,-0.054435958,-17.56975067,-0.238942608,0,9.056026381,-7.325516892,,
China as Home,purete,5,0,1,1.1935,2,1.193500013,0.079651738,0.920722353,0.079651738,0.000866419,27.04228416,27.04315058,6.154556949,1.621601993,0.529930434,18.73704965,7.776158942,6.684487383,19.26698008,20.35865164,12.90254667,4.216479867,12.90254667,0,1.621601993,0,53.18623853,161.9870067,52.59145953,130.3057989,7.97793578,24.298051,-2.5075814,2.507240167,0.437437111,-0.712454868,-0.752822711,2.289038157,-3.728161921,-3.939400362,-5.232839423,-2.496642951,0,8.943514779,-10.73390264,,
OECD and China as Home,purete,6,0,1,1.3985,2,1.436356673,0.131400011,0.92389583,0.131400011,3.141930336,19.3288113,22.47074164,13.99595266,0.962097595,1.152890108,6.359801275,14.95805026,15.14884277,7.512691383,7.32189887,9.212768667,11.03974267,9.212768667,0,0.962097595,1.63E-16,145.0609427,70.11238867,121.7488734,61.14845827,21.7591414,10.5168583,-5.343100657,3.878436366,0.32646289,-0.334332066,-0.325841369,3.201053304,-3.278212617,-3.19495913,-9.80525936,-4.020053084,0,6.47157625,-7.04723841,,
