regionbase,tax_sce,region_scenario,tb,prop,te,varphi,pe,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality
OECD37 as Home,Unilateral,3,7.527132317468737e-06,1.0,0.0,0.0,0.9999971087059377,0.049234334430589985,0.8194978536383585,0.04923412302206873,8.625514993176676,23.650468809695838,32.27598380287252,11.293615644624555,0.9105747487374614,2.48752556823381,17.584267841276688,12.204190393362017,13.781141212858365,20.071793409510498,18.494842590014148,6.070526466750051,16.58356194273257,6.070500400366939,2.606638311158507e-05,0.9105708387959124,3.909941549020426e-06,91.87470066666667,123.29863979999996,69.15739949675006,113.7399398999291,13.781205100000001,18.494795969972774,1.9993223017422658e-05,-3.419025473307106e-05,-1.9881404144453207,2.2916333286751818,2.7673234493884573,-3.419030416296209e-05,3.940951049941077e-05,4.759001414811337e-05,-1.7197127483825625e-05,-2.8141978823725822e-05,1.1290718372980424e-06,-3.773613181205768e-06,-3.773613181205768e-06
OECD37 as Home,Unilateral,3,0.03998528607115074,1.0,0.1,0.1,0.9936641708277647,0.04925308799528158,0.8194978536383585,0.04813803566075507,8.334430937843834,23.57546117465795,31.909892112501783,10.926013577061699,0.8813318768938507,2.4065577390839437,17.69598891946229,11.80734545395555,13.332571316145643,20.102546658546235,18.57732079635614,6.072838755767935,16.487353767022654,5.935354319614994,0.13748443615294167,0.8613201912892946,0.020011685604556084,91.87470066666667,123.29863979999998,69.15971855676118,113.7379744542639,13.781205100000001,18.494058199560175,-0.281352693773529,-0.07480397333378334,-0.20497132930818732,0.08410792416610222,0.2254132559307026,-0.07504182534205128,0.03079265854623614,0.08252579635614055,-0.3661088874982177,-0.20426991869382594,0.005999821067756402,0.019967466061027006,-0.01988125045159483
OECD37 as Home,Unilateral,3,0.07957740524063661,1.0,0.2,0.2,0.988367560067663,0.049307264663114976,0.8194978536383585,0.047104419919613484,8.035818552744237,23.512544099015823,31.54836265176006,10.575140449058335,0.8541405538207827,2.329274616957331,17.789807031923615,11.429281002879117,12.904415066015666,20.119081648880947,18.6439475857444,6.079518665220684,16.398223036556317,5.807910904656367,0.27160776056431724,0.8157598602910747,0.0383806935297079,91.87470066666667,123.29863979999999,69.16644425667177,113.73229653122907,13.781205100000001,18.491989038333017,-0.5502822483382038,-0.13715571929080178,-0.18959817238588508,0.06504281831135936,0.20498175516062242,-0.1379589009841773,0.0473276488809482,0.1491525857443996,-0.7276383482399424,-0.41246171018078215,0.01193298112104002,0.0795255876729646,-0.07887239310736831
OECD37 as Home,Unilateral,3,0.11889080225443792,1.0,0.30000000000000004,0.30000000000000004,0.9840454644238622,0.04939403985591126,0.8194978536383585,0.04612788905845807,7.729022382044962,23.46107801946605,31.190100401511014,10.239637902208987,0.8287734977173633,2.2553770105789392,17.866311991005748,11.068411399926351,12.495014912787926,20.121689001584688,18.695085488723112,6.090217928460843,16.315437084492718,5.6875059777531805,0.4027119507076626,0.7735042562634434,0.05526924145391997,91.87470066666667,123.29863979999996,69.17726330246772,113.72320215747492,13.7812051,18.488776623768725,-0.8065275411625993,-0.18791186148335465,-0.17444044215237714,0.04598487343516808,0.18444642999719632,-0.18942498053394985,0.04993500158468933,0.2002904887231125,-1.085900598488987,-0.6248773312504792,0.01780017230562472,0.17824489881504418,-0.1763360462619968
OECD37 as Home,Unilateral,3,0.15802441539620712,1.0,0.4,0.4,0.980649989202415,0.04951091330644501,0.8194978536383585,0.0452037006304741,7.413282550035466,23.42056650382862,30.833849053864085,9.918259297293128,0.8050299885123237,2.184590335879945,17.92596943217878,10.723289285805452,12.102849633173072,20.110559768058724,18.730999420691102,6.104628265940386,16.23836205595903,5.573554801663858,0.5310734642765295,0.7342162227175704,0.07081376579475333,91.87470066666667,123.29863979999998,69.19189857616873,113.71095337061732,13.7812051,18.484578469020523,-1.0498309754103992,-0.22770823696867387,-0.15943985430069904,0.026908238180242825,0.16378608462442917,-0.2299364961713799,0.03880576805872593,0.23620442069110226,-1.4421519461359154,-0.8418266433651773,0.023600912162513796,0.31583843684336865,-0.31203929059886104
OECD37 as Home,Unilateral,3,0.1970811882304318,1.0,0.5,0.5,0.9781429404702155,0.04965569796913256,0.8194978536383585,0.04432744218573641,7.087743694900185,23.39060980281738,30.478353497717563,9.609799292060586,0.7827277545460359,2.116649104839494,17.969177346271664,10.392527046606622,11.72644839690008,20.08582645111116,18.7519051008177,6.122480017913675,16.166428946018016,5.465513327314436,0.6569666905992397,0.697592041446242,0.08513571309979397,91.87470066666664,123.29863979999999,69.210108412295,113.69577938144005,13.7812051,18.47952586316058,-1.2798931463858387,-0.25704771602692017,-0.1445740596266171,0.007828259485407394,0.14302587158564406,-0.2598931971826204,0.0140724511111614,0.2571101008177017,-1.7976475022824374,-1.0637027108758863,0.029336139795103473,0.49215544590963417,-0.48615931445553584
OECD37 as Home,Unilateral,3,0.2361495223189626,1.0,0.6000000000000001,0.6000000000000001,0.9765027836612239,0.04982640733604806,0.8194978536383585,0.04349546020241318,6.751356855073663,23.370990807366244,30.122347662439907,9.313195500726263,0.7617072561477201,2.0513193169490775,17.9961255886172,10.074902756873982,11.36451481767534,20.047444905566277,18.75783284476492,6.143528250655471,16.099162589845477,5.362931080432578,0.7805971702228934,0.6633720631196577,0.09833519302806229,91.87470066666667,123.29863979999996,69.23167301034644,113.67788838360948,13.781205100000001,18.473730984190333,-1.4964202180813273,-0.27622180656199574,-0.1297851366136855,-0.011287375739524545,0.12213564744961206,-0.2795121926337565,-0.024309094433721867,0.26303784476492,-2.153653337560094,-1.2909114516504205,0.035004986462899755,0.7071820820897923,-0.699289996225627
OECD37 as Home,Unilateral,3,0.2753259406562456,1.0,0.7000000000000001,0.7000000000000001,0.9757177041879389,0.0500212920023133,0.8194978536383585,0.04270431097994908,6.402904536316217,23.36159412423669,29.764498660552906,9.027397282695608,0.7418202864068009,1.9883695586893924,18.006911532761553,9.769217569102409,11.015766841385,19.995281091450945,18.748731819168352,6.167557264923848,16.036130947548266,5.265383457423926,0.9021738074999218,0.6313189167049071,0.11050136970189375,91.87470066666664,123.29863979999998,69.25639947791241,113.65746372148138,13.7812051,18.467288041630166,-1.6990717155729833,-0.2853940049764454,-0.11503428494791484,-0.030449069207671573,0.10110952921678593,-0.2889088757633118,-0.07647290854905364,0.2539368191683522,-2.5115023394470946,-1.5239670903150886,0.040607883184843936,0.9610457896303874,-0.9524860505965375
OECD37 as Home,Unilateral,3,0.3147071255845045,1.0,0.8,0.8,0.9757901661085291,0.05023877194617358,0.8194978536383585,0.04195096199636977,6.040909570899536,23.36246158546172,29.403371156361256,8.751407750095758,0.7229308470435739,1.927580256086041,18.001452303136325,9.474338597139333,10.6789880061818,19.929032559222367,18.7243831501799,6.194372246185589,15.976957424940384,5.172496552453885,1.0218756937317042,0.6012213182177198,0.12170952882585405,91.87470066666667,123.29863979999996,69.2841137010828,113.63467098740888,13.781205100000001,18.460277577290213,-1.887481738703751,-0.2845475762727265,-0.10027098171946175,-0.04968319920983857,0.07992263628685349,-0.2880414145382808,-0.14272144077763116,0.2295881501799002,-2.8726298436387445,-1.7634714977175463,0.04614490965370763,1.2540241015956914,-1.247321616987331
OECD37 as Home,Unilateral,3,0.35439468199647567,1.0,0.9,0.9,0.9767380457732645,0.05047741419159125,0.8194978536383585,0.041232706064616924,5.66356023336588,23.373805944006026,29.037366177371908,8.484253872205583,0.7049112541208012,1.8687370899277407,17.979463961118103,9.189165126326385,10.352990962133324,19.848201051045844,18.684375215238905,6.223796510444415,15.921310179946701,5.083936573040477,1.1398599374039378,0.5728883905016456,0.13202286361915566,91.87470066666667,123.29863979999996,69.31465782968932,113.60966036278889,13.7812051,18.45276873319817,-2.0612496092335806,-0.27347248665601265,-0.08543632460835449,-0.06902690831093608,0.05853707676899007,-0.2766970559939743,-0.22355294895415412,0.18958021523890523,-3.238634822628093,-2.010149987905736,0.05161602518984207,1.5865590711921533,-1.585991522567918
