regionbase,tax_sce,region_scenario,tb,prop,te,varphi,pe,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality
OECD37 as Home,Unilateral,3,3.5762786865234376e-10,0.9999999642372129,0.0,0.0,1.0000000632710286,0.049234334429913706,0.8194978536383585,0.04923433441986928,8.625495274414327,23.650503748195813,32.27599902261014,11.293667281399124,0.9105789120610879,2.487536941721366,17.584215887428567,12.204246193460211,13.78120422312049,20.071752829149933,18.494794799489654,6.070526466666679,16.58358066577705,6.070526465428203,1.2384757484690698e-09,0.9105789118753178,1.8577012412968363e-10,91.87470066666667,123.29863979999996,69.15739949666666,113.73993989999994,13.781205100000001,18.494795969999995,2.74414334001587e-07,7.481958376929394e-07,0.37837546675600753,-0.5921189781198968,-0.10140152416330388,7.481958128607857e-07,-1.1708500657903187e-06,-2.005103461044655e-07,-1.9773898642938548e-06,-3.8625944398518186e-07,5.364417690085162e-11,-3.7732549160762265e-06,-3.7732549160762265e-06
OECD37 as Home,Unilateral,3,0.07957102966308602,-6.969602966308614,0.2,0.2,0.9883699148342332,0.049307252971929366,0.8194978536383585,0.04710458547994897,8.035799939499052,23.512572108089614,31.548372047588664,10.575180264594069,0.8541435293649902,2.3292833867053258,17.789764866924283,11.429323793959059,12.904463651299395,20.119048253629607,18.643908396289273,6.079517223713396,16.3982371892094,5.807931318020537,0.27158590569285973,0.8157657988411995,0.038377730523790614,91.87470066666667,123.29863979999996,69.16644280242247,113.73229775651025,13.7812051,18.4919894783954,-0.5502984035732313,-0.13712803599790102,-0.1895621270336869,0.06499776221503739,0.20493054295752897,-0.13793089191038632,0.04729425362960882,0.14911339628927323,-0.7276289524113366,-0.4124373017413072,0.011932008394204831,0.07952558792498059,-0.0788703474982288
OECD37 as Home,Unilateral,3,0.15802081290818756,-14.776593009568794,0.4,0.4,0.9806512539875074,0.0495109006836918,0.8194978536383585,0.045203787194976225,7.4132708195179875,23.420581607063284,30.83385242658127,9.918279659559373,0.8050313957590618,2.1845948208615047,17.925946550401417,10.723311055318435,12.102874480420876,20.110541371262922,18.73097794616048,6.104626709572089,16.238369217199114,5.573565474949224,0.5310612346228657,0.734219136086849,0.0708122596722129,91.87470066666664,123.29863979999995,69.1918969921744,113.71095469353034,13.7812051,18.48457891605181,-1.0498396404297026,-0.22769342597221334,-0.15942975444733104,0.026895544590787215,0.1637715770162212,-0.22992139293671698,0.03878737126292364,0.2361829461604792,-1.4421485734187307,-0.8418124522776873,0.023600357109439234,0.3158384369214354,-0.31203782212212333
OECD37 as Home,Unilateral,3,0.23614444721722996,-22.59522713520571,0.6000000000000001,0.6000000000000001,0.9765044986320616,0.0498263818272668,0.8194978536383585,0.043495573209604094,6.751338340923274,23.371011329862828,30.1223496707861,9.313221306674505,0.7617088968262702,2.0513250009530393,17.996094466332647,10.074930203500776,11.364546307627544,20.047419467285685,18.757803363158917,6.143525105457442,16.099171658253724,5.362945014065503,0.7805800913919382,0.6633756247950443,0.09833327203122581,91.87470066666664,123.29863979999995,69.23166978108894,113.6778910570278,13.7812051,18.473731838794905,-1.4964315607871506,-0.27620176626935616,-0.12977572847838337,-0.011299197964043455,0.12212207221812334,-0.2794916701371726,-0.024334532714313184,0.2630083631589173,-2.1536513292139006,-1.2908910538868907,0.03500420117861947,0.7071820822427528,-0.6992886844953595
OECD37 as Home,Unilateral,3,0.3147024688720706,-30.432746887207124,0.8,0.8,0.975791704541483,0.05023874205480493,0.8194978536383585,0.04195105828489544,6.040890368679041,23.362480002109002,29.403370370788043,8.7514288965184,0.7229320718834619,1.9275849137854575,18.00142448860116,9.47436096840186,10.679013810303857,19.92900940238662,18.724356560484622,6.1943685606205054,15.976964935337824,5.172508424698127,1.0218601359223791,0.6012241509408821,0.12170792094257984,91.87470066666667,123.29863979999995,69.28410988372322,113.6346741201392,13.7812051,18.4602785292444,-1.887491157310959,-0.2845296054752497,-0.1002645432246229,-0.04969124681809107,0.07991335821257246,-0.28802299789099806,-0.14274459761337965,0.22956156048462262,-2.872630629211958,-1.7634525681194324,0.04614418896232279,1.2540241017272395,-1.2473223008945558
OECD37 as Home,Unilateral,3,0.3944943264909093,-38.478773774579324,1.0,1.0,0.9785991835490411,0.05073587115463857,0.8194978536383585,0.04054721500915176,5.268571460931491,23.396064301974338,28.664635762905828,8.224980977203373,0.6876397239708643,1.8116297847242935,17.94038527700747,8.912620701174237,10.036610761927665,19.75201506173176,18.628025000978333,6.255663902435003,15.86890299489098,4.9994164583065555,1.2562474441284477,0.546148141596099,0.14149158237476522,91.87470066666667,123.29863979999996,69.34788263930365,113.58257307959687,13.7812051,18.444822400371738,-2.21994172691492,-0.2517111919423485,-0.070454988992028,-0.08853685996199881,0.03689186560524533,-0.25443869802566255,-0.3197389382682374,0.13323000097833315,-3.611365237094173,-2.2648740272390846,0.05702030214034559,1.959279274229926,-1.9714712339014455
OECD37 as Home,Unilateral,3,0.4764696989059453,-46.64384489059461,1.2000000000000002,1.2000000000000002,0.9853248835709225,0.05130759070827237,0.8194978536383585,0.03926573430655921,4.413309197722904,23.476324673838764,27.889633871561667,7.725892635929725,0.6548451632254623,1.701700861269517,17.807195211136975,8.380737799155186,9.427593497199242,19.508896072406493,18.462040374362438,6.326156145745103,15.772771769669589,4.841411630746946,1.4847445149981573,0.4967946613822766,0.15805050184318561,91.87470066666667,123.29863979999993,69.42186363446356,113.52265467278328,13.781205100000001,18.42781538507723,-2.490038187080271,-0.1728987080255477,-0.03970901683809773,-0.1283198398839675,-0.007467369848091915,-0.17417832616123619,-0.5628579275935053,-0.03275462563756193,-4.386367128438334,-2.803336235089109,0.06762941909228898,2.8289347414376005,-2.9002165419146184
OECD37 as Home,Unilateral,3,0.5619500737190252,-55.17156987190263,1.4000000000000001,1.4000000000000001,0.9969243830128653,0.05194470848529688,0.8194978536383585,0.03809242090468752,3.438041122647664,23.614105047517096,27.05214617016476,7.244757877216529,0.6234782075084316,1.5957263840315972,17.588183701408198,7.86823608472496,8.840484261248125,19.183910085439795,18.21166190891663,6.404711901044614,15.686862107524714,4.696743684237055,1.7079682168075592,0.45193604243957847,0.1715421650688532,91.87470066666664,123.29863979999993,69.50502276141196,113.4558822807787,13.7812051,18.40961530455082,-2.693092694805818,-0.03634196503434297,-0.006967642415141944,-0.16995953055383936,-0.054200030495928114,-0.03639795248290412,-0.8878439145602037,-0.28313309108337137,-5.22385482983524,-3.392662181134895,0.07796077874856114,3.873477490845568,-4.086708242298962
OECD37 as Home,Unilateral,3,0.6532385481229294,-64.3359145008611,1.6,1.6,1.0156951715811702,0.05263746714959756,0.8194978536383585,0.03701753860621555,2.2646437064254443,23.83537975744548,26.100023463870926,6.766996116539821,0.5920057287866154,1.4904948414853996,17.250526777059097,7.3590018453264365,8.25749095802522,18.741021618544497,17.84253250584571,6.490128102062561,15.609931980430026,4.5642121588903635,1.9259159431721968,0.41022109850769833,0.181784630278917,91.87470066666667,123.29863979999993,69.59622249716988,113.38327850991344,13.7812051,18.39054634976613,-2.823128228503872,0.18632571081364555,0.029934817017057212,-0.21546910973539032,-0.10561283462230803,0.1848767574454797,-1.3307323814555012,-0.6522624941542894,-6.175977536129075,-4.060779849909517,0.08798371013182515,5.11141623497584,-5.644062757398037
OECD37 as Home,Unilateral,3,0.7564446098050106,-74.54533149441728,1.8,1.8,1.0492264368210331,0.053369944215797466,0.8194978536383585,0.03604057327297271,0.6495545611836289,24.225625215146838,24.875179776330466,6.254554516506532,0.55667893772612,1.3776247366030736,16.686321585494742,6.811233454232652,7.632179253109606,18.063946322097816,17.24300052322086,6.5804415280096995,15.541483860329219,4.443753662169768,2.1366878658399306,0.36914976876378486,0.18752916896233518,91.87470066666664,123.29863979999996,69.69346656067204,113.30651209785837,13.7812051,18.371053351874366,-2.873937115265789,0.5892211414167631,0.07771059423884798,-0.271295254569959,-0.16914264497777778,0.5751222151468376,-2.007807677902182,-1.2517944767791391,-7.400821223669535,-4.890847411970432,0.09758954337113487,6.580973265566195,-7.918642191796021
