,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
0,Unilateral,OECD37 as Home,0.0,1.0,0.0,0.5125000237146535,0.0,0.057913183842328936,0.7795968539285809,0.057913183842328936,9.30397,24.33133,33.6353,2.5272,2.1634999999999995,8.7523,1.0261,2.4744,1.0261,0.0,16.691800000000004,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11933333333334,55.410933333333325,108.60846666666669,11.226700000000001,17.717900000000004,0.0,0.0,,inf,,0.0,-2.163499999999999,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.8987130744388826e-14,-1.8987130744388826e-14,8.06654199,21.09526311,1.23742801,3.2360668900000005,3.0,1.0
1,Unilateral,OECD37 as Home,0.1,0.9953140032926096,0.03385481439816573,0.7032596126706457,0.1,0.05792887312554804,0.7795968539285809,0.05682789384057222,9.030959790756162,24.274254791792682,33.30521458254884,2.4555738150622086,2.1736858848995397,8.504241334903833,0.9973367192011513,2.4042702785651824,0.9783340915216103,0.019002627679540984,16.77010668355056,16.496000000000002,6.71247293518583,0.13004693915516075,6.842519874340991,74.84466666666667,118.11933333333334,55.41279116212579,108.60689144014351,11.2267,17.71730654055553,-0.2623830746189906,-0.05694142874533921,-0.17291042012107172,-6.529591808469325,0.18095100387185553,-0.05707520820731915,-2.155323037884262,0.05972928765124763,-0.3300854174511585,0.005076231132672748,-0.32278450263377034,0.049222184764476304,-0.07266079926034036,0.010161982022498534,0.0,0.0,0.021363322792540867,-0.022739407856424348,7.775614343224245,21.045778904484255,1.255345447531917,3.2284758873084267,3.0,1.0
2,Unilateral,OECD37 as Home,0.2,0.9914366903714626,0.06746673387916369,0.2189673675082872,0.2,0.0579744444547018,0.7795968539285809,0.05579532870268709,8.74918352000332,24.22692765581762,32.97611117582094,2.3866199146428015,2.1821867407281434,8.265437432307769,0.9702332484881753,2.3367570104432374,0.9335847177196009,0.0366485307685744,16.83487685365216,16.496,6.590507029475597,0.2573956998841396,6.847902729359736,74.84466666666665,118.11933333333333,55.41820541849365,108.60231601337756,11.226700000000001,17.71562534306955,-0.5115320413572494,-0.10395500901577566,-0.158380027623197,-3.273820879157371,0.16064720605716118,-0.10440234418238248,-2.1580661359046083,0.10589684286847145,-0.6591888241790613,0.010104280743460592,-0.6425474572307263,0.08606728774014048,-0.14464142926358683,0.018606501187865058,0.0,0.0,0.08509395339412003,-0.09105455618903299,7.4758325640020695,21.004746277593874,1.2733509560012506,3.2221813782237434,3.0,1.0
3,Unilateral,OECD37 as Home,0.30000000000000004,0.9883415407723228,0.1009098030529759,0.18053578166958656,0.30000000000000004,0.05804782846626747,0.7795968539285809,0.05481157442465753,8.457770328181494,24.18908127488364,32.64685160306514,2.320125666427756,2.1890206075010963,8.035151895487358,0.9446190166928656,2.2716520057806426,0.8915719957600517,0.05304702093281384,16.88628241506055,16.496000000000002,6.474306629990932,0.38226416989226414,6.856570799883196,74.84466666666667,118.11933333333336,55.42695602223527,108.59494815343263,11.226700000000001,17.712988948918284,-0.7470742316911874,-0.1414187143048533,-0.14391112935937522,-2.1971461392353557,0.14014089120287734,-0.14224872511636022,-2.171765579158812,0.13852203925450723,-0.9884483969348636,0.01508400810834809,-0.9597775405316296,0.11071630017833116,-0.21605189418364523,0.025371260500872246,0.0,0.0,0.19077032704071611,-0.2054296058163912,7.16630130270331,20.971933465324117,1.2914690254781849,3.2171478095595245,3.0,1.0
4,Unilateral,OECD37 as Home,0.4,0.9860119675511223,0.13425646800720756,0.13597982168424028,0.4,0.058147166240768065,0.7795968539285809,0.053873097623030476,8.155691566985276,24.160556985471025,32.3162485524563,2.2558877961946737,2.1941924349795756,7.812680737034914,0.9203380063994817,2.2087562372998177,0.852044104231089,0.06829390216839272,16.924393285720928,16.495999999999995,6.363454375833944,0.5048501357480871,6.86830451158203,74.84466666666664,118.11933333333332,55.438845421274145,108.58497449848859,11.226699999999996,17.709511084486586,-0.9685971127381207,-0.16957722320823404,-0.12946653054889143,-1.665250040905995,0.11942197356541413,-0.17077301452897586,-2.196550476979258,0.15752372709998497,-1.3190514475436999,0.02001537391170638,-1.274998062545739,0.12322202095221992,-0.2870099943585911,0.03047676362555498,0.0,0.0,0.3381212505115574,-0.3668328932049576,6.845963901119386,20.94720290640338,1.30972766586589,3.213354079067647,3.0,1.0
5,Unilateral,OECD37 as Home,0.5,0.9844419338885724,0.16757903722659034,0.11564355448960639,0.5,0.05827078173556513,0.7795968539285809,0.05297671217403699,7.841715746369678,24.141313811323144,31.983029557692824,2.1937100306932034,2.197691834859285,7.5973442155888415,0.8972460554227457,2.147877532426109,0.8147734262403806,0.08247262918236506,16.949160272337643,16.496,6.257573924189133,0.6253319672279931,6.882905891417126,74.84466666666665,118.11933333333332,55.453695634815524,108.57256332562875,11.2267,17.705289719480962,-1.1756423784723367,-0.18853611499004796,-0.11500307928496543,-1.3512692220764018,0.09846945055343545,-0.1900161886768572,-2.2326621952362515,0.16269816261966952,-1.6522704423071772,0.024898362088705994,-1.588777683928325,0.12349274670250529,-0.3576437388389865,0.03392446523915933,0.0,0.0,0.5270255863424471,-0.5767741337270148,6.5135565361731445,20.930519074417166,1.3281592101965336,3.2107947369059784,3.0,1.0
6,Unilateral,OECD37 as Home,0.6000000000000001,0.983637038905768,0.20095134147708973,0.095926446703232,0.6000000000000001,0.058417158912446185,0.7795968539285809,0.05211953408915486,7.514349242409995,24.131442637037654,31.64579187944765,2.1333992242109634,2.1994901721134372,7.388473421201969,0.8752078050044584,2.0888267807801553,0.7795523604488774,0.09565544455558092,16.960392868759573,16.496,6.156324620254913,0.7438712457106226,6.900195865965535,74.84466666666665,118.11933333333333,55.47134580403061,108.55786684726266,11.226700000000001,17.700409551381274,-1.3676958123317535,-0.1982497399932956,-0.10047074495320564,-1.1462533512188624,0.0772506753251137,-0.19988736296234677,-2.280480350460273,0.15369084587746684,-1.989508120552351,0.029732992963494964,-1.9017511456110292,0.11126888709619547,-0.4280960117566331,0.03569409990977757,0.0,0.0,0.7575070185381684,-0.8374027131702731,6.1675474603303995,20.921960766311646,1.346801782079596,3.209481870726008,3.0,1.0
7,Unilateral,OECD37 as Home,0.7000000000000001,0.9836163198107215,0.23445092353327301,0.0847986726321725,0.7000000000000001,0.05858491876128769,0.7795968539285809,0.05129896110541363,7.171746695924837,24.131188486234695,31.30293518215953,2.074762316618239,2.199536502623629,7.185399740320437,0.8540941179121382,2.031414955777212,0.7461902235248458,0.10790389438729245,16.957728264501664,16.496,6.059399086464055,0.8606124610067366,6.92001154747079,74.84466666666665,118.11933333333333,55.49164968093143,108.54102351798315,11.2267,17.69494416233946,-1.5441774775964578,-0.19849972950365788,-0.08581055254924339,-1.0035122986841485,0.055719793080122426,-0.2001415137653062,-2.340556779721126,0.12995888503742847,-2.332364817840471,0.03451922966921994,-2.2146391247993207,0.08608940100517663,-0.4985290420330853,0.03573967183566725,0.0,0.0,1.029759795864726,-1.1516319387790206,5.806045866774012,20.92174041756548,1.3657008291508252,3.209448068669215,3.0,1.0
8,Unilateral,OECD37 as Home,0.8,0.9844158149832121,0.26816159276540374,0.07207799438163329,0.8,0.05877279922542108,0.7795968539285809,0.050512644466583205,6.811587430172889,24.14099355430675,30.95258098447964,2.0175998579939205,2.1977501448784578,6.98743243000957,0.8337782346701609,1.9754467745410558,0.7145091216383259,0.11926911303183489,16.940574467394462,16.496,5.966519889296497,0.9756839733440936,6.942203862640589,74.84466666666665,118.11933333333334,55.514473418982064,108.52216005008883,11.2267,17.688957805105947,-1.7044232292848716,-0.18885138524421782,-0.07094907986714077,-0.8997135906148217,0.03381004362303081,-0.19033644569325148,-2.413678758064485,0.09070284694307773,-2.6827190155203624,0.03925694565792737,-2.528290501771378,0.04722870603906046,-0.5691339178989923,0.033981867305695336,0.0,0.0,1.3441205049776912,-1.5233853681857803,5.426675267242035,20.930241411583953,1.3849121629308538,3.210752142722798,3.0,1.0
9,Unilateral,OECD37 as Home,0.9,0.9860933170563944,0.30217747993334143,0.06238671741678025,0.9,0.05897963478383464,0.7795968539285809,0.04975847166527313,6.430879359510018,24.161553630991094,30.592432990501113,1.9616993527259792,2.1940114212094084,6.793835566976727,0.8141318895400924,1.9207141810640878,0.6843402980165283,0.12979159152356418,16.90803947301266,16.495999999999995,5.877437500787618,1.089197640122402,6.966635140910019,74.84466666666665,118.11933333333334,55.53969327659002,108.50139346355982,11.2267,17.682506974993146,-1.8476640416651366,-0.1685944782600078,-0.05579486992987809,-0.8219045847603835,0.01143092473432989,-0.16977636900890758,-2.5009463459232535,0.034782783762157266,-3.042867009498888,0.043945846990300796,-2.843732722393173,-0.006384015976459892,-0.6401419238094926,0.030298274519390503,0.0,0.0,1.7011121264457443,-1.957906519125527,5.026373600243233,20.94806699806928,1.4045057592667851,3.213486632921816,3.0,1.0
