,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cec_prime,Cecstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
0,Unilateral,OECD37 as Home,0.0,1.0,0.0,0.5,0.0,0.0615423649267523,0.7743721342320449,0.0615423649267523,8.62549,23.6505,32.27599,2.756242,3.698956,8.537428,0.9105699999999999,2.48754,0.9105699999999999,0.0,13.885254,16.5836,6.070466666666665,0.0,6.070466666666665,73.49978666666667,62.98665333333332,53.53865533333333,92.77916599999999,11.024968000000001,14.795824,0.0,0.0,,-inf,,0.0,1.5769699999999993,0.0,0.0,0.0,-0.0,-0.0,-1.5467641863670176e-14,-1.5467641863670176e-14,8.62549,23.6505,0.0,0.0,3.0,1.0
1,Unilateral,OECD37 as Home,0.1,0.9936667065380066,0.039978465522211716,0.6828204489134002,0.1,0.061565495203649755,0.7743721342320449,0.06018958093098951,8.33440698177004,23.575488265010133,31.909895246780174,2.6665262650106265,3.7225318868611192,8.25953453928833,0.8813215989996402,2.406570520754177,0.8615668801641679,0.0197547188354724,13.97340947134055,16.583599999999997,5.937029640591177,0.13571856944912822,6.072748210040305,71.6231233978749,60.787578097983946,53.54094362308409,92.77722668813239,11.024968000000003,14.79509582098646,-0.2813703864951416,-0.07477407356065259,-0.20489705009464101,4.327174804232995,0.22530494216556785,-0.07501173498986802,1.584155992094729,0.08248295720131082,-0.36609475321982643,0.005998788562456392,-0.45604169224544433,0.07310373521290953,-0.06339094942222111,-0.10323811304789256,8.33440698177004,23.575488265010133,0.0,0.0,3.0,1.0
2,Unilateral,OECD37 as Home,0.2,0.9883698153771179,0.07957100499147435,0.1908677824862001,0.2,0.061632330585658736,0.7743721342320449,0.058913193614595544,8.035794706711282,23.51256794258114,31.54836264929242,2.5808939478956354,3.742481753743808,7.994289418634046,0.8541159250697054,2.3292863729484963,0.8162149319272475,0.03790099314245789,14.047295524345092,16.583599999999997,5.811128293329862,0.2682124803716265,6.079340773701487,69.87439984740823,58.75476981881202,53.54758181634997,92.77162300902037,11.024968,14.793052325539074,-0.5502985833144723,-0.13712918784971356,-0.1895641461040879,2.172482790478375,0.20493072863960052,-0.13793205741886183,1.5807578972935872,0.1491132031586062,-0.7276273507075786,0.0119320059250978,-0.9058710071758505,0.13012113486337487,-0.08934193439624867,-0.24773746368016034,8.035794706711282,23.51256794258114,0.0,0.0,3.0,1.0
3,Unilateral,OECD37 as Home,0.30000000000000004,0.9840475468768057,0.11888463037062244,0.1267179505418513,0.30000000000000004,0.06173938193613289,0.7743721342320449,0.057706667231230184,7.728998219372233,23.461099867834367,31.1900980872066,2.4990131368537214,3.758919995014303,7.740664545037335,0.8287270682753741,2.2553880023775514,0.7741343571195008,0.05459271115587334,14.107386391098991,16.5836,5.692117946532326,0.3977822467730191,6.089900193305345,68.24105184993634,56.871113238240376,53.558260581955395,92.76264750235711,11.024968000000001,14.789878486474338,-0.8065428772593194,-0.18788740934194695,-0.1744189545333403,1.4430077017938594,0.1844138003326016,-0.189400132165634,1.5669503934765423,0.20025345438866893,-1.0858919127934001,0.017799227710188048,-1.3501761380719643,0.1716849485891419,-0.0782937377724579,-0.43287171804924796,7.728998219372233,23.461099867834367,0.0,0.0,3.0,1.0
4,Unilateral,OECD37 as Home,0.4,0.9806513189108019,0.15802029942313117,0.09566980793238408,0.4,0.06188356739990219,0.7743721342320449,0.056564185824581066,7.413264271347121,23.42057941149924,30.83384368284636,2.4205767102835516,3.771938025952372,7.497708612858626,0.804954734077916,2.1845982282755823,0.73499130450651,0.06996342957140603,14.154068179580376,16.583599999999997,5.579424921091975,0.5246975571819562,6.10412247827393,66.71207557856191,55.121708078331864,53.57270695518234,92.75055856013378,11.024968000000001,14.785729095907428,-1.0498406945156318,-0.22769263681936566,-0.15942944607351256,1.0698237685764516,0.163770441876394,-0.22992058850076091,1.5428424078559573,0.23618093961066577,-1.4421463171536395,0.02360028070492548,-1.7896601221653758,0.19827547949427318,-0.03058252818287726,-0.6584575771025175,7.413264271347121,23.42057941149924,0.0,0.0,3.0,1.0
5,Unilateral,OECD37 as Home,0.5,0.9781450773995307,0.1970747997212556,0.07992016129191944,0.5,0.06206215488591963,0.7743721342320449,0.055480568040034456,7.087717145536433,23.390632386265573,30.478349531802007,2.345299045927581,3.7816026328465933,7.264536910429277,0.7826201074041033,2.1166592732810448,0.6984911955356482,0.084128911868455,14.187632898119462,16.583599999999997,5.472538134269164,0.6492000040828804,6.121738138352044,65.27781020192046,53.49354492850933,53.5906792296178,92.7355852490674,11.024967999999998,14.780734280398672,-1.2799075569577931,-0.2570226913707649,-0.14456039365587225,0.8391378577011233,0.14300726030487101,-0.25986761373442846,1.5084681714005086,0.2570756383701607,-1.7976404681979936,0.02933515104943296,-2.2250485546868415,0.21021847545120564,0.053555975664924975,-0.9247546016708063,7.087717145536433,23.390632386265573,0.0,0.0,3.0,1.0
6,Unilateral,OECD37 as Home,0.6000000000000001,0.9765051749092462,0.23614265664514483,0.0649181836638448,0.6000000000000001,0.062272712593732196,0.7743721342320449,0.05445118882962519,6.751328511879721,23.371016458098048,30.122344969977767,2.272912081947678,3.7879533002411083,7.040319119278497,0.7615620226096576,2.051329208512216,0.6643727539922423,0.0971892686174153,14.208268692226854,16.5836,5.3710013767593345,0.7715059268369695,6.142507303596304,63.929748846130195,51.975227656849356,53.61196254241754,92.71793145860978,11.024968000000001,14.775003934725001,-1.4964343174306924,-0.27619382859269914,-0.1297723338832065,0.6796727781662142,0.12212041047214942,-0.27948354190195346,1.4637739007390707,0.2630040150776196,-2.1536450300222327,0.03500392747781855,-2.6571040116887357,0.20767603389144593,0.17397301437745422,-1.232493128305235,6.751328511879721,23.371016458098048,0.0,0.0,3.0,1.0
7,Unilateral,OECD37 as Home,0.7000000000000001,0.9757204624460507,0.27531844036628617,0.05333821532429481,0.7000000000000001,0.06251306441737181,0.7743721342320449,0.05347191905949361,6.402873274410047,23.361624181322416,29.764497455732464,2.203162502623991,3.790999720070462,6.824270596867813,0.7416338963141067,1.9883794136281512,0.6324032782417731,0.10923061807233361,14.216050841453836,16.583599999999997,5.274407355643419,0.89180796982388,6.166215325467299,62.660388685764794,50.55675174301962,53.63636485028834,92.69777964001945,11.024968,14.768631353705224,-1.699085912007551,-0.2853617501030847,-0.11502157127121171,0.5608641993770286,0.10109703826035274,-0.28887581867758527,1.4086062550819882,0.25390445783840576,-2.5114925442675364,0.040606711755611924,-3.086637253920474,0.19063687193256168,0.3306225969648484,-1.582901085992536,6.402873274410047,23.361624181322416,0.0,0.0,3.0,1.0
8,Unilateral,OECD37 as Home,0.8,0.975793406124502,0.31469875360372546,0.04731869081151362,0.8,0.06278125257027194,0.7743721342320449,0.052539063530840695,6.040874466708436,23.362497408348172,29.403371875056607,2.135806854169849,3.7907163307148317,6.615637247883745,0.7227003196992656,1.9275901687956527,0.6023738550188837,0.12032646468038179,14.210921645335876,16.5836,5.1823915808475824,1.0102775093476863,6.192669090195269,61.46309148606997,49.22930378217264,53.66371354629492,92.67529394000067,11.024968000000003,14.761696144415234,-1.8874961453923578,-0.28450969277769556,-0.10025787596028057,0.46740908667001757,0.07991256956735182,-0.2880025916518285,1.34268781413153,0.22955829574997466,-2.8726181249433935,0.046143592585220716,-3.5145346793416015,0.15888986373531402,0.5235422983639069,-1.9777923086350961,6.040874466708436,23.362497408348172,0.0,0.0,3.0,1.0
9,Unilateral,OECD37 as Home,0.9,0.9767419337991201,0.3543853582247758,0.044775523335052775,0.9,0.06307550089328143,0.7743721342320449,0.05164932093900882,5.663521246995073,23.373849500205957,29.03737074720103,2.070607384068661,3.7870351133718594,6.413682636631522,0.7046340828448783,1.8687468996431216,0.5740955556332854,0.13053852721159287,14.192663906781936,16.5836,5.0946284155539265,1.1270649839716291,6.221693399525556,60.33198282122913,47.985111941374306,53.693852065201916,92.65062327706991,11.024968,14.754266705908194,-2.061263807154405,-0.273427012946413,-0.08542236002424486,0.39077974520508346,0.058528986646039206,-0.27665049979404444,1.265586806425059,0.18955310299867634,-3.2386192527989692,0.05161454246124764,-3.941786731102172,0.11198735396655547,0.7528557571147928,-2.4196784334813954,5.663521246995073,23.373849500205957,0.0,0.0,3.0,1.0
