,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cec_prime,Cecstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
0,Unilateral,OECD37 as Home,0.0,1.0,0.0,0.5,0.0,0.054859959706182876,0.7786238142659195,0.054859959706182876,8.62549,23.6505,32.27599,2.5445,1.8967,8.74917,0.9105699999999999,2.48754,0.9105699999999999,0.0,15.68751,16.5836,6.070466666666665,0.0,6.070466666666665,74.91139999999999,64.39826666666666,54.73852666666666,102.99194999999999,11.236709999999999,16.59808,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,8.62549,23.6505,0.0,0.0,3.0,1.0
1,Unilateral,OECD37 as Home,0.1,0.9936666826814524,0.03997844488146787,0.6828229883133116,0.1,0.05488072532142868,0.7786238142659195,0.05364566727845646,8.334406874237207,23.57548798200281,31.909894856240015,2.461676528934833,1.908788966217196,8.464384530029777,0.8813243962198894,2.4065705768467494,0.8614320677572006,0.01989232846268883,15.787150363464338,16.583599999999997,5.936100514274683,0.13666394801265153,6.072764462287336,72.98819241826138,62.14461044158663,54.740831220317844,102.98999687372239,11.236709999999999,16.597346751832426,-0.28137048689265187,-0.07477435477560716,-0.20489760455924208,0.05100024031821207,0.22530680154418936,-0.07501201799719226,0.018670940311089623,0.08248372590142239,-0.36609514375998486,0.00599878867045367,-0.4560413710317162,0.07792850119023824,-0.06297786376967182,-0.102825069903239,8.334406874237207,23.57548798200281,0.0,0.0,3.0,1.0
2,Unilateral,OECD37 as Home,0.2,0.9883698702468577,0.07957097620219883,0.19087188630742366,0.2,0.05494072852411719,0.7786238142659195,0.05250029979624928,8.035794827443738,23.51256859523587,31.548363422679607,2.3826226035464027,1.919018433378868,8.192560504723943,0.85412637570889,2.329286316064381,0.8159667072755769,0.038159668433313136,15.870748254173916,16.583599999999997,5.809361173614194,0.2700428750630066,6.079404048677201,71.19609917702941,60.06127046896742,54.74751651967775,102.98435322529102,11.236709999999997,16.595289435278644,-0.5502984785258433,-0.13712854278546205,-0.18956345062612623,0.03433707758491864,0.20493075419373344,-0.13793140476413157,0.024984570238299142,0.14911306326167306,-0.7276265773203932,0.011932001005030668,-0.905871343730415,0.13949564418622665,-0.08694911334630305,-0.24534447427333192,8.035794827443738,23.51256859523587,0.0,0.0,3.0,1.0
3,Unilateral,OECD37 as Home,0.30000000000000004,0.9840476208833486,0.1188845879797566,0.12672063253934596,0.30000000000000004,0.05503683861734783,0.7786238142659195,0.05141793252535151,7.728998371537955,23.461100750045222,31.190099121583177,2.3070320909594733,1.9274473711926583,7.932645297410057,0.8287493064236432,2.2553879377265975,0.7737909461997716,0.05495836022387168,15.938836512406397,16.583599999999997,5.689593049935908,0.4004459521829498,6.090039002118858,69.52224216265469,58.13071055030453,54.75827105105637,102.97531351486559,11.236709999999999,16.592094750798502,-0.8065427550805617,-0.18788654120448423,-0.17441830824743054,0.01765780569125786,0.1844137325424995,-0.18939924995477853,0.01917445013299357,0.2002531900226998,-1.0858908784168229,0.017799220161671014,-1.3501765331119324,0.18536057188595062,-0.07239961316597038,-0.426977255686163,7.728998371537955,23.461100750045222,0.0,0.0,3.0,1.0
4,Unilateral,OECD37 as Home,0.4,0.9806513674588322,0.15802026917576484,0.09567246666511159,0.4,0.05516629138496828,0.7786238142659195,0.05039329718706043,7.413264363179305,23.420579991227715,30.83384435440702,2.2346213940310324,1.9341226280190995,7.683663769705042,0.8049921894388146,2.1845981931648466,0.7345682032150391,0.07042398622377545,15.991845830926588,16.583599999999993,5.576213187830692,0.5281502635760729,6.1043634514067655,67.95534417654895,56.33766600377433,54.77282005168271,102.96313773297089,11.236709999999997,16.587918838855835,-1.0498406266818028,-0.22769206830785985,-0.15942911832441697,0.0009666319734735663,0.1637703161995069,-0.2299200087722859,0.0013940240914358526,0.23618064838450437,-1.44214564559298,0.0236002751533243,-1.789660343656182,0.21602414504294504,-0.01970387882859026,-0.647578635367231,7.413264363179305,23.420579991227715,0.0,0.0,3.0,1.0
5,Unilateral,OECD37 as Home,0.5,0.9781450828363231,0.19707478924154648,0.07992062220473148,0.5,0.05532663731245046,0.7786238142659195,0.04942170234933398,7.087717386459622,23.390632451271273,30.478349837730896,2.1651267157491496,1.9390783977568515,7.4447088652509255,0.7826756032653633,2.116659190605085,0.6980015996108445,0.08467400365451885,16.03010056779145,16.5836,5.468702462202889,0.6534038860840318,6.12210634828692,66.48550382168044,54.66880881290809,54.790920345622844,102.94805627062276,11.236709999999999,16.582892877406124,-1.2799073942816668,-0.25702262778575896,-0.14456038209599495,-0.015737432995352428,0.1430066896642821,-0.2598675487287281,-0.028290241603464494,0.2570745688136675,-1.7976401622691043,0.029335156738072188,-2.225049092976019,0.23183014496111076,0.07087927961739479,-0.9074311312259405,7.087717386459622,23.390632451271273,0.0,0.0,3.0,1.0
6,Unilateral,OECD37 as Home,0.6000000000000001,0.9765050677704207,0.23614280429021803,0.06491855994716303,0.6000000000000001,0.05551569656099585,0.7786238142659195,0.048498964155335285,6.751328510800395,23.371015176003805,30.1223436868042,2.098300799947936,1.9423350298945095,7.214930402782661,0.7616379794838739,2.0513292088435797,0.6638280621393232,0.09780991734455068,16.05380918607837,16.5836,5.366597913115916,0.7764285720516456,6.143026485167562,65.10400527022509,53.112467164688574,54.812355825576205,102.93027415427422,11.23671,16.57712759415741,-1.4964343180919393,-0.2761950805642914,-0.12977285187625245,-0.03246197142478122,0.12211949280868094,-0.2794848239961958,-0.0699116050780475,0.26300219545675674,-2.1536463131958,0.03500394648137983,-2.6571040094625755,0.23295825428164071,0.1992029637509528,-1.2072640169250697,6.751328510800395,23.371015176003805,0.0,0.0,3.0,1.0
7,Unilateral,OECD37 as Home,0.7000000000000001,0.9757202090680339,0.27531869018799415,0.05333922040721599,0.7000000000000001,0.05573151973478536,0.7786238142659195,0.04762134604527346,6.4028732537485356,23.361621148013892,29.764494401762427,2.0339095782818357,1.9438974230242156,6.993523546872111,0.7417322597423202,1.9883794192804862,0.6318132168689429,0.10991904287337725,16.06305130431876,16.583599999999997,5.269486075780883,0.8974220780827629,6.166908153863646,63.80315713781733,51.65838986903881,54.83693348870072,102.90997473588256,11.23671,16.570716919780555,-1.6990859233928475,-0.28536470976389433,-0.11502263917517025,-0.049221378881771374,0.10109553337997826,-0.28887885198610874,-0.12361927640075265,0.25390098708529507,-2.5114955982375733,0.040606757222297896,-3.0866372147448455,0.21941124004757553,0.36523328310634295,-1.5482927266921092,6.4028732537485356,23.361621148013892,0.0,0.0,3.0,1.0
8,Unilateral,OECD37 as Home,0.8,0.9757929508109621,0.3146992127810726,0.04731937084736759,0.8,0.055972353436041095,0.7786238142659195,0.046785506840772345,6.040874589209281,23.36249195777709,29.403366546986373,1.9717283375918953,1.9437525126859039,6.77971562955743,0.7228227033183751,1.9275901390816832,0.6017468355457857,0.12107586777258941,16.057757321220738,16.5836,5.1769972358912435,1.0165600982399947,6.193557334131239,62.57615649888734,50.29754879963153,54.86447992668207,102.88732293265508,11.236709999999999,16.56374096354981,-1.887496085306653,-0.28451501140777385,-0.10025958742374123,-0.06603808079982205,0.07991041672524048,-0.2880080422229092,-0.18970253969757778,0.22955253722501823,-2.8726234530136274,0.0461436795860205,-3.5145348917801535,0.19099161155057548,0.569047628960995,-1.9322916174595683,6.040874589209281,23.36249195777709,0.0,0.0,3.0,1.0
9,Unilateral,OECD37 as Home,0.9,0.9767411985742412,0.35438604861966405,0.044776480171089664,0.9,0.056236606804659445,0.7786238142659195,0.045988464385020154,5.663520952539566,23.373840703082426,29.037361655621993,1.9115377627225016,1.9418654632042058,6.572752543713431,0.704781851295655,1.868746962579183,0.5734389499943294,0.13134290130132542,16.037677456621648,16.583599999999997,5.088801406264768,1.1339965848837819,6.222797991148551,61.41698595481966,49.02198597433888,54.89483784499531,102.8624683741904,11.236709999999997,16.556268535108707,-2.061263934102204,-0.273435605462629,-0.0854248365354528,-0.08294424436366063,0.05852624968547004,-0.2766592969175754,-0.2686255807991671,0.1895447711215077,-3.2386283443780073,0.05161467467067071,-3.941786266975616,0.14726399827926984,0.8108386168651119,-2.3617044797935343,5.663520952539566,23.373840703082426,0.0,0.0,3.0,1.0
