region_scenario,Qe,Qestar,Qeworld,CeHH_old,CeHF,CeFH,CeFF_old,Ce,Cestar,Ge,Gestar,Ceworld,Geworld,regionbase,,Cec,Cecstar,CeHH,CeFF
1,4.48004,27.79594,32.27598,4.5984,1.19611,0.4216,26.05987,5.79451,26.48147,4.635608,21.185176,32.27598,32.27598,US as Home,,1.158902,5.296294,3.439498,20.763576
2,0.93578,31.3402,32.27598,2.95058,1.01356,0.50767,27.80417,3.96414,28.31184,3.171312,22.649472,32.27598,32.27598,EU28 as Home,,0.792828,5.662368,2.157752,22.141802
3,8.62549,23.6505,32.27599,11.29367,2.48754,0.91057,17.58421,13.78121,18.49478,11.024968,14.795824,32.27599,32.27599,OECD37 as Home,,2.5445,1.8967,8.74917,15.68751
4,32.175999,0.1,32.275999,32.146,0.029999999,0.029999999,0.07,32.176,0.099999999,25.7408,0.079999999,32.276,32.276,World as Home,,6.4352,0.02,25.7108,0.05
5,7.52274,24.75324,32.27598,7.34547,0.63247,1.93538,22.36266,7.97794,24.29804,6.382352,19.438432,32.27598,32.27598,China as Home,,1.595588,4.859608,5.749882,17.503052
6,16.14824,16.12775,32.27599,20.10318,1.65596,1.38191,9.13494,21.75914,10.51685,17.407312,8.41348,32.27599,32.27599,OECD and China as Home,,4.351828,2.10337,15.751352,7.03157
7,5.41582,26.86015,32.27597,7.72887,2.02977,0.74938,21.76795,9.75864,22.51733,7.806912,18.013864,32.27597,32.27597,US and EU as Home,,1.951728,4.503466,5.777142,17.264484
